Gender,Age,"Delivery status","Delivery level",Reach,"Cost per 1,000 Accounts Center accounts reached",Impressions,"CPM (cost per 1,000 impressions)",Frequency,"Link clicks","Outbound clicks","Clicks (all)","CTR (all)","CPC (all)","CTR (link click-through rate)","CPC (cost per link click)","Content views","Cost per content view","Landing page views","Cost per landing page view","* OC to LPV","* LC to LPV","Adds to cart","Cost per add to cart","* LPV to ATC","Checkouts initiated","Cost per checkout initiated","* ATC to IC","Adds of payment info","Cost per add of payment info","* API to Purchase",Purchases,"Cost per purchase","Purchases conversion value","Purchase ROAS (return on ad spend)","Average purchases conversion value","Result type",Results,"Cost per result","Amount spent (IDR)","Reporting starts","Reporting ends"
male,18-24,,,38644,17695.24376359,81262,8414.94179321,2.10283615,1102,1101,2091,2.57315843,327.02773792,1.35610741,620.52177858,825,828.86666667,683,1001.19326501,,,714,957.72408964,,39,17533.71794872,0.05462185,51,13408.1372549,0.33333333,17,40224.41176471,,,,"Website purchases",17,40224.41176471,683815,2026-01-15,2026-01-25
male,25-34,,,8455,29108.21998817,16170,15220.16079159,1.91247782,354,354,588,3.63636364,418.55442177,2.18923933,695.2259887,287,857.5261324,230,1070.04347826,,,220,1118.68181818,,18,13672.77777778,0.08181818,13,18931.53846154,0.53846154,7,35158.57142857,,,,"Website purchases",7,35158.57142857,246110,2026-01-15,2026-01-25
female,18-24,,,5035,20376.9612711,10620,9660.82862524,2.10923535,173,171,322,3.03201507,318.62732919,1.62900188,593.05202312,139,738.11510791,121,847.91735537,,,124,827.40322581,,12,8549.83333333,0.09677419,10,10259.8,0.4,4,25649.5,,,,"Website purchases",4,25649.5,102598,2026-01-15,2026-01-25
male,35-44,,,1704,37517.6056338,3061,20885.33159098,1.7963615,68,68,112,3.65893499,570.80357143,2.22149624,940.14705882,79,809.24050633,62,1031.12903226,,,58,1102.24137931,,7,9132.85714286,0.12068966,5,12786,0.4,2,31965,,,,"Website purchases",2,31965,63930,2026-01-15,2026-01-25
female,25-34,,,1273,24709.34799686,2300,13676.08695652,1.8067557,43,43,92,4,341.90217391,1.86956522,731.51162791,28,1123.39285714,26,1209.80769231,,,23,1367.60869565,,,,0,,,,,,,,,,,,31455,2026-01-15,2026-01-25
unknown,18-24,,,668,18667.66467066,1499,8318.87925284,2.24401198,22,22,35,2.33488993,356.28571429,1.4676451,566.81818182,16,779.375,17,733.52941176,,,16,779.375,,2,6235,0.125,1,12470,1,1,12470,,,,"Website purchases",1,12470,12470,2026-01-15,2026-01-25
male,45-54,,,428,21070.09345794,801,11258.42696629,1.87149533,15,15,25,3.12109863,360.72,1.87265918,601.2,14,644.14285714,12,751.5,,,11,819.81818182,,3,3006,0.27272727,2,4509,0,,,,,,,,,9018,2026-01-15,2026-01-25
female,35-44,,,378,23140.21164021,700,12495.71428571,1.85185185,7,7,12,1.71428571,728.91666667,1,1249.57142857,7,1249.57142857,5,1749.4,,,5,1749.4,,1,8747,0.2,1,8747,0,,,,,,,,,8747,2026-01-15,2026-01-25
male,65+,,,243,19041.15226337,447,10351.23042506,1.83950617,10,10,15,3.3557047,308.46666667,2.23713647,462.7,6,771.16666667,5,925.4,,,4,1156.75,,1,4627,0.25,1,4627,0,,,,,,,,,4627,2026-01-15,2026-01-25
unknown,25-34,,,147,23571.42857143,347,9985.5907781,2.36054422,6,6,8,2.3054755,433.125,1.72910663,577.5,4,866.25,3,1155,,,3,1155,,2,1732.5,0.66666667,2,1732.5,1,2,1732.5,,,,"Website purchases",2,1732.5,3465,2026-01-15,2026-01-25
female,45-54,,,162,17481.48148148,328,8634.14634146,2.02469136,3,3,5,1.52439024,566.4,0.91463415,944,2,1416,2,1416,,,2,1416,,,,0,,,,,,,,,,,,2832,2026-01-15,2026-01-25
male,55-64,,,98,23122.44897959,205,11053.65853659,2.09183673,4,4,5,2.43902439,453.2,1.95121951,566.5,3,755.33333333,3,755.33333333,,,3,755.33333333,,,,0,,,,,,,,,,,,2266,2026-01-15,2026-01-25
female,65+,,,43,30744.18604651,73,18109.5890411,1.69767442,1,1,1,1.36986301,1322,1.36986301,1322,,,,,,,,,,,,,,,,,,,,,,,,1322,2026-01-15,2026-01-25
female,55-64,,,35,28742.85714286,68,14794.11764706,1.94285714,,,2,2.94117647,503,,,2,503,,,,,2,503,,,,0,,,,,,,,,,,,1006,2026-01-15,2026-01-25
unknown,35-44,,,25,42160,60,17566.66666667,2.4,1,1,1,1.66666667,1054,1.66666667,1054,1,1054,1,1054,,,1,1054,,,,0,,,,,,,,,,,,1054,2026-01-15,2026-01-25
unknown,45-54,,,11,59545.45454545,38,17236.84210526,3.45454545,1,1,2,5.26315789,327.5,2.63157895,655,1,655,1,655,,,1,655,,,,0,,,,,,,,,,,,655,2026-01-15,2026-01-25
unknown,65+,,,9,15666.66666667,18,7833.33333333,2,,,1,5.55555556,141,,,,,,,,,,,,,,,,,,,,,,,,,,141,2026-01-15,2026-01-25
unknown,Unknown,,,0,,0,,0,,,0,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,0,2026-01-15,2026-01-25
