Placement,Platform,"Delivery status","Delivery level",Reach,"Cost per 1,000 Accounts Center accounts reached",Impressions,"CPM (cost per 1,000 impressions)",Frequency,"Link clicks","Outbound clicks","Clicks (all)","CTR (all)","CPC (all)","CTR (link click-through rate)","CPC (cost per link click)","Content views","Cost per content view","Landing page views","Cost per landing page view","* OC to LPV","* LC to LPV","Adds to cart","Cost per add to cart","* LPV to ATC","Checkouts initiated","Cost per checkout initiated","* ATC to IC","Adds of payment info","Cost per add of payment info","* API to Purchase",Purchases,"Cost per purchase","Purchases conversion value","Purchase ROAS (return on ad spend)","Average purchases conversion value","Result type",Results,"Cost per result","Amount spent (IDR)","Reporting starts","Reporting ends"
"Instagram Reels",instagram,,,33671,15064.29865463,65519,7741.72377478,1.94585845,875,873,1325,2.02231414,382.81509434,1.33549047,579.69142857,640,792.546875,510,994.56862745,,,538,942.80669145,,43,11796.04651163,0.07992565,43,11796.04651163,0.53488372,23,22053.47826087,,,,"Website purchases",23,22053.47826087,507230,2026-01-15,2026-01-25
"Facebook Reels",facebook,,,9342,11642.15371441,16752,6492.41881566,1.79319204,104,104,560,3.34288443,194.21607143,0.62082139,1045.77884615,78,1394.37179487,66,1647.89393939,,,62,1754.20967742,,4,27190.25,0.06451613,2,54380.5,0,,,,,,,,,108761,2026-01-15,2026-01-25
"Instagram Stories",instagram,,,7607,28999.21125279,13442,16411.02514507,1.76705666,362,361,556,4.13628924,396.75719424,2.69305163,609.3839779,310,711.60322581,265,832.44150943,,,277,796.37906137,,9,24510.77777778,0.03249097,17,12976.29411765,0.29411765,5,44119.4,,,,"Website purchases",5,44119.4,220597,2026-01-15,2026-01-25
Feed,instagram,,,6944,30409.99423963,11504,18355.96314325,1.65668203,253,253,479,4.16376912,440.84968685,2.19923505,834.65217391,240,879.8625,186,1135.30645161,,,203,1040.23152709,,17,12421.58823529,0.08374384,18,11731.5,0.16666667,3,70389,,,,"Website purchases",3,70389,211167,2026-01-15,2026-01-25
Feed,facebook,,,4690,22134.32835821,7057,14710.21680601,1.50469083,162,162,324,4.59118606,320.40123457,2.29559303,640.80246914,117,887.26495726,122,850.90163934,,,86,1207.09302326,,12,8650.83333333,0.13953488,6,17301.66666667,0.33333333,2,51905,,,,"Website purchases",2,51905,103810,2026-01-15,2026-01-25
"Search results",facebook,,,1840,5226.63043478,2233,4306.76220331,1.21358696,33,33,39,1.74652933,246.58974359,1.47783251,291.42424242,18,534.27777778,14,686.92857143,,,10,961.7,,,,0,,,,,,,,,,,,9617,2026-01-15,2026-01-25
"Facebook Stories",facebook,,,498,17208.83534137,659,13004.55235205,1.32329317,13,13,14,2.12443096,612.14285714,1.97268589,659.23076923,7,1224.28571429,5,1714,,,7,1224.28571429,,,,0,,,,,,,,,,,,8570,2026-01-15,2026-01-25
Marketplace,facebook,,,139,4604.31654676,189,3386.24338624,1.35971223,,,0,,,,,1,640,,,,,1,640,,,,0,,,,,,,,,,,,640,2026-01-15,2026-01-25
"Facebook Notifications",facebook,,,187,5636.36363636,189,5576.71957672,1.01069519,2,2,2,1.05820106,527,1.05820106,527,,,,,,,,,,,,,,,,,,,,,,,,1054,2026-01-15,2026-01-25
"Explore home",instagram,,,174,4672.4137931,178,4567.41573034,1.02298851,,,3,1.68539326,271,,,,,,,,,,,,,,,,,,,,,,,,,,813,2026-01-15,2026-01-25
Explore,instagram,,,112,21866.07142857,150,16326.66666667,1.33928571,4,4,10,6.66666667,244.9,2.66666667,612.25,2,1224.5,2,1224.5,,,2,1224.5,,,,0,,,,,,,,,,,,2449,2026-01-15,2026-01-25
"Facebook profile feed",facebook,,,116,6663.79310345,123,6284.55284553,1.06034483,2,2,5,4.06504065,154.6,1.62601626,386.5,1,773,1,773,,,1,773,,,,0,,,,,,,,,,,,773,2026-01-15,2026-01-25
"Instagram search results",instagram,,,2,15000,2,15000,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,2026-01-15,2026-01-25
Unknown,unknown,,,0,,0,,0,,,0,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,0,2026-01-15,2026-01-25
