Age,Gender,"Delivery status","Delivery level",Reach,"Cost per 1,000 Accounts Center accounts reached",Impressions,"CPM (cost per 1,000 impressions)",Frequency,"Link clicks","Clicks (all)","CTR (all)","CPC (all)","CTR (link click-through rate)","CPC (cost per link click)","Outbound clicks","* OC→WA landing ratio","Messaging conversations started","Cost per messaging conversation started","Instagram profile visits","Instagram follows","* COST/ Follow (IDR)","Result type",Results,"Cost per result","Amount spent (IDR)","Reporting starts","Reporting ends"
25-34,male,,,49395,26886.58771131,84285,15756.81319333,1.7063468,654,1024,1.21492555,1296.93652344,0.77593878,2030.67737003,235,,75,17707.50666667,906,22,60366.5,,,,1328063,2026-01-30,2026-02-05
35-44,male,,,25873,45358.75236733,44349,26462.08482717,1.71410351,305,513,1.15673409,2287.65497076,0.68772689,3847.76065574,183,,64,18336.984375,360,27,43465.44444444,,,,1173567,2026-01-30,2026-02-05
18-24,male,,,2362,61651.14309907,5250,27737.14285714,2.22269263,14,45,0.85714286,3236,0.26666667,10401.42857143,14,,3,48540,43,0,,,,,145620,2026-01-30,2026-02-05
45-54,male,,,2355,52339.70276008,3526,34957.45887691,1.49723992,64,84,2.38230289,1467.38095238,1.81508792,1925.9375,18,,5,24652,73,15,8217.33333333,,,,123260,2026-01-30,2026-02-05
55-64,male,,,392,99237.24489796,654,59481.65137615,1.66836735,12,17,2.59938838,2288.29411765,1.83486239,3241.75,8,,4,9725.25,8,0,,,,,38901,2026-01-30,2026-02-05
25-34,female,,,515,39487.37864078,786,25872.7735369,1.52621359,2,8,1.0178117,2542,0.25445293,10168,2,,,,8,0,,,,,20336,2026-01-30,2026-02-05
35-44,female,,,227,64903.08370044,340,43332.35294118,1.49779736,4,6,1.76470588,2455.5,1.17647059,3683.25,4,,1,14733,2,0,,,,,14733,2026-01-30,2026-02-05
65+,male,,,142,44739.43661972,267,23794.00749064,1.88028169,1,5,1.87265918,1270.6,0.37453184,6353,1,,,,5,0,,,,,6353,2026-01-30,2026-02-05
45-54,female,,,61,93901.63934426,117,48957.26495726,1.91803279,2,3,2.56410256,1909.33333333,1.70940171,2864,2,,,,1,0,,,,,5728,2026-01-30,2026-02-05
18-24,female,,,82,28487.80487805,132,17696.96969697,1.6097561,1,2,1.51515152,1168,0.75757576,2336,1,,,,1,0,,,,,2336,2026-01-30,2026-02-05
65+,female,,,9,182555.55555556,15,109533.33333333,1.66666667,,0,0,,,,,,,,0,0,,,,,1643,2026-01-30,2026-02-05
45-54,unknown,,,6,163500,21,46714.28571429,3.5,,0,0,,,,,,,,0,0,,,,,981,2026-01-30,2026-02-05
25-34,unknown,,,36,24861.11111111,70,12785.71428571,1.94444444,,0,0,,,,,,,,0,0,,,,,895,2026-01-30,2026-02-05
55-64,female,,,21,31952.38095238,31,21645.16129032,1.47619048,,0,0,,,,,,,,0,0,,,,,671,2026-01-30,2026-02-05
35-44,unknown,,,19,33894.73684211,23,28000,1.21052632,,0,0,,,,,,,,0,0,,,,,644,2026-01-30,2026-02-05
18-24,unknown,,,16,13750,21,10476.19047619,1.3125,,0,0,,,,,,,,0,0,,,,,220,2026-01-30,2026-02-05
Unknown,male,,,3,10333.33333333,4,7750,1.33333333,,0,0,,,,,,,,0,0,,,,,31,2026-01-30,2026-02-05
55-64,unknown,,,1,5000,2,2500,2,,0,0,,,,,,,,0,0,,,,,5,2026-01-30,2026-02-05
