Age,Gender,"Delivery status","Delivery level",Reach,"Cost per 1,000 Accounts Center accounts reached",Impressions,"CPM (cost per 1,000 impressions)",Frequency,"Link clicks","Clicks (all)","CTR (all)","CPC (all)","CTR (link click-through rate)","CPC (cost per link click)","Outbound clicks","* OC→WA landing ratio","Messaging conversations started","Cost per messaging conversation started","Instagram profile visits","Instagram follows","* COST/ Follow (IDR)","Result type",Results,"Cost per result","Amount spent (IDR)","Reporting starts","Reporting ends"
25-34,male,,,43843,25719.02014005,68110,16555.5571869,1.55349771,358,697,1.02334459,1617.78909613,0.52562032,3149.71787709,187,,89,12669.65168539,595,31,36374.16129032,,,,1127599,2026-01-23,2026-01-29
35-44,male,,,28190,37141.11387017,42064,24890.83301636,1.49216034,271,467,1.11021301,2241.98715203,0.64425637,3863.49815498,153,,76,13776.42105263,336,31,33774.4516129,,,,1047008,2026-01-23,2026-01-29
45-54,male,,,2655,44387.57062147,3517,33508.38783054,1.32467043,69,80,2.27466591,1473.1125,1.96189935,1707.95652174,10,,4,29462.25,73,8,14731.125,,,,117849,2026-01-23,2026-01-29
18-24,male,,,2198,48436.76069154,4090,26030.31784841,1.86078253,8,34,0.83129584,3131.29411765,0.19559902,13308,8,,4,26616,43,4,26616,,,,106464,2026-01-23,2026-01-29
55-64,male,,,433,79960.73903002,618,56024.27184466,1.42725173,11,14,2.26537217,2473.07142857,1.77993528,3147.54545455,5,,4,8655.75,12,1,34623,,,,34623,2026-01-23,2026-01-29
25-34,female,,,485,49587.62886598,776,30992.26804124,1.6,3,11,1.41752577,2186.36363636,0.38659794,8016.66666667,3,,2,12025,12,1,24050,,,,24050,2026-01-23,2026-01-29
35-44,female,,,264,45678.03030303,362,33312.15469613,1.37121212,1,3,0.82872928,4019.66666667,0.27624309,12059,1,,1,12059,1,0,,,,,12059,2026-01-23,2026-01-29
65+,male,,,148,68243.24324324,231,43722.94372294,1.56081081,1,1,0.43290043,10100,0.43290043,10100,1,,,,0,0,,,,,10100,2026-01-23,2026-01-29
45-54,female,,,64,60718.75,103,37728.15533981,1.609375,2,6,5.82524272,647.66666667,1.94174757,1943,2,,,,4,0,,,,,3886,2026-01-23,2026-01-29
18-24,female,,,78,42807.69230769,146,22869.8630137,1.87179487,1,2,1.36986301,1669.5,0.68493151,3339,1,,,,2,0,,,,,3339,2026-01-23,2026-01-29
55-64,female,,,25,107880,31,87000,1.24,,0,0,,,,,,,,0,0,,,,,2697,2026-01-23,2026-01-29
65+,female,,,8,235875,13,145153.84615385,1.625,1,1,7.69230769,1887,7.69230769,1887,1,,1,1887,0,0,,,,,1887,2026-01-23,2026-01-29
45-54,unknown,,,10,120500,26,46346.15384615,2.6,,0,0,,,,,,,,0,0,,,,,1205,2026-01-23,2026-01-29
25-34,unknown,,,24,19333.33333333,45,10311.11111111,1.875,,0,0,,,,,,,,0,0,,,,,464,2026-01-23,2026-01-29
35-44,unknown,,,12,38250,17,27000,1.41666667,,0,0,,,,,,,,0,0,,,,,459,2026-01-23,2026-01-29
18-24,unknown,,,8,8875,10,7100,1.25,,0,0,,,,,,,,0,0,,,,,71,2026-01-23,2026-01-29
55-64,unknown,,,2,22000,2,22000,1,,0,0,,,,,,,,0,0,,,,,44,2026-01-23,2026-01-29
Unknown,male,,,1,1000,1,1000,1,,0,0,,,,,,,,0,0,,,,,1,2026-01-23,2026-01-29
