"Campaign name","Delivery status","Delivery level",Reach,"Cost per 1,000 Accounts Center accounts reached",Impressions,"CPM (cost per 1,000 impressions)",Frequency,"Link clicks","Clicks (all)","CTR (all)","CPC (all)","CTR (link click-through rate)","CPC (cost per link click)","Outbound clicks","* OC→WA landing ratio","Messaging conversations started","Cost per messaging conversation started","Instagram follows","* COST /Follow (IDR)","Result type",Results,"Cost per result","Amount spent (IDR)","Instagram profile visits","Reporting starts","Reporting ends"
,,,328426,54850.47773319,787193,22884.25201952,2.39686566,12141,15985,2.03063289,1126.95170472,1.54231554,1483.75941026,1495,0.21672241,324,55599.76234568,450,40031.82888889,mixed,,,18014323,15374,2025-11-26,2025-12-25
"RMODA - BSD || TOF || CBO || Winning ADS & ADSET include report MOM || 30/11/25 (Drop Pin + R-LT)",active,campaign,30956,122491.11642331,70213,54004.74271146,2.2681548,433,1206,1.71763064,3144.14179104,0.61669491,8757.12471132,430,0.20930233,90,42131.5,71,53406.12676056,"Messaging conversations started",90,42131.5,3791835,982,2025-11-26,2025-12-25
"RMODA - BSD || BOF || CBO || Sales || 20/11/25 - Brief Creative - VS 1",inactive,campaign,39857,93402.16273177,99516,37408.35644519,2.49682615,264,804,0.80791029,4630.26119403,0.26528397,14101.25,259,0.23552124,61,61028.36065574,48,77556.875,"Messaging conversations started",61,61028.36065574,3722730,978,2025-11-26,2025-12-25
"RMODA - BSD || BOF || CBO || Sales || 17/11/25 - Brief Creative",active,campaign,26787,82703.77421884,55989,39568.23661791,2.09015567,156,494,0.88231617,4484.58704453,0.27862616,14201.19230769,156,0.24358974,38,58299.63157895,20,110769.3,"Messaging conversations started",38,58299.63157895,2215386,553,2025-11-26,2025-12-25
"RMODA - BSD || TOF || ABO || Winning ADS & ADSET include report MOM || 15/12/25 (Drop Pin + R-LT)",active,campaign,23614,90329.25383247,49161,43388.7634507,2.08185822,193,884,1.79817335,2412.93552036,0.39258762,11051.99481865,192,0.22395833,43,49605.46511628,35,60943.85714286,"Messaging conversations started",43,49605.46511628,2133035,855,2025-11-26,2025-12-25
"RMODA - BSD || TOF || ABO || Traffic || Collaboration Post || 6/12/25 - [ Visit Profile ]",active,campaign,234728,7479.09069221,414781,4232.47930836,1.76707082,10620,11347,2.73566051,154.71507888,2.56038729,165.30621469,2,1,2,877776,223,7872.43049327,"Instagram profile visits",10718,163.79473782,1755552,10718,2025-11-26,2025-12-25
"RMODA - BSD || TOF || ABO || Sales || Collaboration Post & Manual Upload || 6/12/25",active,campaign,28930,60014.31040442,50062,34681.27521873,1.73045282,197,496,0.99077144,3500.43145161,0.39351205,8813.26903553,181,0.23756906,43,40377.06976744,18,96456.33333333,"Messaging conversations started",43,40377.06976744,1736214,513,2025-11-26,2025-12-25
"RMODA - BSD || MOF || CBO || Traffic || SPPF || 31/10/25 (RT All Engaged IG)",inactive,campaign,10885,69770.60174552,17019,44623.83218756,1.56352779,103,274,1.60996533,2771.72627737,0.60520595,7373.33009709,103,0.10679612,11,69041.18181818,17,44673.70588235,"Messaging conversations started",11,69041.18181818,759453,205,2025-11-26,2025-12-25
"RMODA - BSD || MOF || CBO || Traffic || UGC || 31/10/25 (RT All Engaged IG)",inactive,campaign,7923,88179.72990029,11727,59576.02114778,1.48012117,64,203,1.73104801,3441.61576355,0.54574913,10916.375,63,0.0952381,6,116441.33333333,11,63513.45454545,"Messaging conversations started",6,116441.33333333,698648,185,2025-11-26,2025-12-25
"RMODA - BSD || TOF || CBO || BROAD || 23/11/25",inactive,campaign,6086,109621.26191259,9052,73702.49668582,1.48734801,51,157,1.73442333,4249.39490446,0.5634114,13081.47058824,50,0.2,10,66715.5,6,111192.5,"Messaging conversations started",10,66715.5,667155,165,2025-11-26,2025-12-25
"RMODA - BSD || TOF || ABO || Traffic  || 17/12/25 - [ New Creative ]",active,campaign,4257,125514.44679352,9673,55237.7752507,2.27225746,60,120,1.24056653,4452.625,0.62028326,8905.25,59,0.33898305,20,26715.75,1,534315,"Messaging conversations started",20,26715.75,534315,220,2025-11-26,2025-12-25
