Ads,Impressions,"Link clicks","CTR (link click-through rate)","Outbound clicks","Messaging conversations started","Cost per messaging conversation started","Instagram follows","* COST /Follow (IDR)","Amount spent (IDR)","Instagram profile visits","Reporting starts","Reporting ends"
,288931,1402,0.48523696,1388,172,64943.09302326,164,68111.04878049,11170212,3535,2025-10-26,2025-11-25
"SPPF || Ads 1 || 31/10/25;...and 6 more ads",61755,497,0.80479313,491,62,44509.75806452,52,53069.32692308,2759605,681,2025-10-26,2025-11-25
"UGC || Ads 1 || 31/10/25 (manual upload);...and 5 more ads",35111,131,0.37310245,130,20,68925.45,23,59935.17391304,1378509,484,2025-10-26,2025-11-25
"NCC || BOF || Ads 2 || 17/11/25 (manual upload);...and 4 more ads",43868,129,0.29406401,129,31,44338,15,91631.86666667,1374478,386,2025-10-26,2025-11-25
"UGC || Ads 2 || 31/10/25 (manual upload);...and 4 more ads",25208,217,0.86083783,216,18,57812.22222222,30,34687.33333333,1040620,398,2025-10-26,2025-11-25
"NCC || Ads 2 || 31/10/25;...and 6 more ads",22857,75,0.32812705,73,8,110377.25,9,98113.11111111,883018,320,2025-10-26,2025-11-25
"PPF || Ads 3 || 31/10/25;...and 6 more ads",18190,75,0.41231446,75,6,119381.5,3,238763,716289,152,2025-10-26,2025-11-25
"ADS 1 || Service mobil + before after;...and 3 more ads",12272,40,0.32594524,40,7,90702.85714286,6,105820,634920,200,2025-10-26,2025-11-25
"before after_satisfiying_reels_;...and 3 more ads",20598,75,0.36411302,71,6,95574,10,57344.4,573444,254,2025-10-26,2025-11-25
"ADS 1;...and 2 more ads",2820,10,0.35460993,10,,,3,90872,272616,50,2025-10-26,2025-11-25
"NCC || Ads 1 || 31/10/25;...and 6 more ads",6818,15,0.22000587,15,4,63065.5,3,84087.33333333,252262,90,2025-10-26,2025-11-25
"PPF || BOF || Ads 3 || 17/11/25 (manual upload);...and 11 more ads",7231,15,0.20744019,15,3,75068,1,225204,225204,81,2025-10-26,2025-11-25
"NCC || BOF || Ads 1 || 17/11/25 (manual upload);...and 11 more ads",5749,12,0.20873195,12,1,177303,3,59101,177303,61,2025-10-26,2025-11-25
"explaining progress_reels;...and 3 more ads",3069,12,0.39100684,12,,,2,84434.5,168869,52,2025-10-26,2025-11-25
"UGC || Ads 2 || 31/10/25 (manual upload);...and 1 more ad",4123,50,1.21270919,50,3,50779.66666667,1,152339,152339,68,2025-10-26,2025-11-25
"SP || BOF || Ads 4 || 17/11/25 (manual upload);...and 5 more ads",3260,9,0.27607362,9,,,1,118069,118069,74,2025-10-26,2025-11-25
"paint progress_reels;...and 3 more ads",3229,8,0.24775472,8,,,2,56438.5,112877,71,2025-10-26,2025-11-25
"PPF || Ads 1 || 31/10/25;...and 6 more ads",2760,8,0.28985507,8,1,84043,0,,84043,22,2025-10-26,2025-11-25
"PPF || Ads 2 || 31/10/25;...and 6 more ads",3004,7,0.23302264,7,,,0,,82790,14,2025-10-26,2025-11-25
"SPPF || Ads 2 || 31/10/25;...and 5 more ads",1864,10,0.53648069,10,,,0,,61092,28,2025-10-26,2025-11-25
"NCC || BOF || Ads 2 || 17/11/25 (manual upload);...and 7 more ads",2883,1,0.03468609,1,,,0,,38360,14,2025-10-26,2025-11-25
"SP || BOF || Ads 4 || 17/11/25 (manual upload);...and 4 more ads",1295,2,0.15444015,2,,,0,,23165,5,2025-10-26,2025-11-25
"ADS 2 || Service motor + before after;...and 3 more ads",436,4,0.91743119,4,2,10767,0,,21534,28,2025-10-26,2025-11-25
"SPPF || Ads 3 || 31/10/25;...and 5 more ads",531,,,,,,0,,18806,2,2025-10-26,2025-11-25
