"Campaign name","Delivery status","Delivery level",Reach,"Cost per 1,000 Accounts Center accounts reached",Impressions,"CPM (cost per 1,000 impressions)",Frequency,"Link clicks","Clicks (all)","CTR (all)","CPC (all)","CTR (link click-through rate)","CPC (cost per link click)","Outbound clicks","* OC→WA landing ratio","Messaging conversations started","Cost per messaging conversation started","Instagram follows","* COST /Follow (IDR)","Result type",Results,"Cost per result","Amount spent (IDR)","Instagram profile visits","Reporting starts","Reporting ends"
,,,81392,137239.67957539,288931,38660.48295268,3.54986977,1402,3452,1.19474892,3235.86674392,0.48523696,7967.34094151,1388,0.12391931,172,64943.09302326,164,68111.04878049,mixed,,,11170212,3535,2025-10-26,2025-11-25
"RMODA - BSD || MOF || CBO || Traffic || UGC || 31/10/25 (RT All Engaged IG)",inactive,campaign,18607,76543.82759177,37392,38089.72507488,2.00956629,194,580,1.55113393,2455.60517241,0.51882756,7341.5,193,0.13471503,26,54778.88461538,26,54778.88461538,"Messaging conversations started",26,54778.88461538,1424251,536,2025-10-26,2025-11-25
"RMODA - BSD || MOF || CBO || Traffic || SPPF || 31/10/25 (RT All Engaged IG)",inactive,campaign,17110,83139.9181765,37820,37613.00898995,2.21040327,294,602,1.5917504,2362.99667774,0.77736647,4838.5170068,291,0.12371134,36,39514.55555556,32,44453.875,"Messaging conversations started",36,39514.55555556,1422524,474,2025-10-26,2025-11-25
"RMODA - BSD || TOF || CBO || Sales || SPPF || 31/10/25 (PP Drop Pin by Radius)",inactive,campaign,15982,88660.93104743,26330,53816.14128371,1.64747841,213,384,1.45841246,3690.04947917,0.80896316,6652.48356808,210,0.12380952,26,54499.19230769,20,70848.95,"Messaging conversations started",26,54499.19230769,1416979,237,2025-10-26,2025-11-25
"RMODA - BSD || BOF || CBO || Sales || 20/11/25 - Brief Creative - VS 1",inactive,campaign,18309,63719.15451417,37161,31394.04214095,2.02965755,107,277,0.74540513,4211.67509025,0.28793628,10903.12149533,107,0.19626168,21,55554,18,64813,"Messaging conversations started",21,55554,1166634,364,2025-10-26,2025-11-25
"RMODA - BSD || TOF || CBO || Sales || UGC || 31/10/25 (PP Drop Pin by Radius)",inactive,campaign,16377,70050.49764914,27050,42410.97966728,1.65170666,204,500,1.84842884,2294.434,0.75415896,5623.6127451,203,0.07389163,15,76481.13333333,28,40972.03571429,"Messaging conversations started",15,76481.13333333,1147217,414,2025-10-26,2025-11-25
"RMODA - BSD || TOF || CBO || Update Creative || 9/10/25",inactive,campaign,14017,61010.91531711,26896,31796.17787032,1.91881287,95,306,1.13771565,2794.73856209,0.35321237,9002,91,0.06593407,6,142531.66666667,14,61085,"Messaging conversations started",6,142531.66666667,855190,377,2025-10-26,2025-11-25
"RMODA - BSD || TOF || CBO || Update Creative 2 || 20/10/25",inactive,campaign,4655,141021.26745435,12708,51656.7516525,2.72996778,44,122,0.96002518,5380.7704918,0.34623859,14919.40909091,44,0.20454545,9,72939.33333333,6,109409,"Messaging conversations started",9,72939.33333333,656454,228,2025-10-26,2025-11-25
"RMODA - BSD || BOF || CBO || Sales || 17/11/25 - Brief Creative",active,campaign,10017,64110.21263851,19260,33343.30218069,1.92273136,54,159,0.82554517,4038.94339623,0.28037383,11892.44444444,54,0.25925926,14,45870.85714286,2,321096,"Messaging conversations started",14,45870.85714286,642192,209,2025-10-26,2025-11-25
"RMODA - BSD || MOF || CBO || Traffic || NCC || 31/10/25 (RT All Engaged IG)",inactive,campaign,6651,85870.54578259,15408,37066.7834891,2.31664411,44,146,0.94755971,3911.81506849,0.28556594,12980.11363636,43,0.1627907,7,81589.28571429,8,71390.625,"Messaging conversations started",7,81589.28571429,571125,223,2025-10-26,2025-11-25
"RMODA - BSD || TOF || CBO || Sales || NCC || 31/10/25 (PP Drop Pin by Radius)",inactive,campaign,6959,81068.40063227,14267,39542.65087264,2.05015088,46,144,1.00932221,3917.74305556,0.32242237,12264.23913043,45,0.11111111,5,112831,4,141038.75,"Messaging conversations started",5,112831,564155,187,2025-10-26,2025-11-25
"RMODA - BSD || TOF || CBO || Sales || PPF || 31/10/25 (PP Drop Pin by Radius)",inactive,campaign,8080,56425.99009901,13887,32830.84899546,1.71868812,45,73,0.52567149,6245.50684932,0.32404407,10131.6,45,0.08888889,4,113980.5,2,227961,"Messaging conversations started",4,113980.5,455922,98,2025-10-26,2025-11-25
"RMODA - BSD || MOF || CBO || Traffic || PPF || 31/10/25 (RT All Engaged IG)",inactive,campaign,5092,83896.30793401,10067,42435.68093772,1.97702278,45,86,0.85427635,4967.44186047,0.44700507,9493.33333333,45,0.06666667,3,142400,1,427200,"Messaging conversations started",3,142400,427200,90,2025-10-26,2025-11-25
"RMODA - BSD || TOF || CBO || BROAD || 23/11/25",inactive,campaign,2192,124368.61313869,2820,96672.34042553,1.28649635,10,44,1.56028369,6195.81818182,0.35460993,27261.6,10,0,,,3,90872,,,,272616,50,2025-10-26,2025-11-25
"RMODA - BSD || BOF || CBO || Sales || 17/11/25 (PP Drop Pin by Radius & Engaged IG) - Brief Creative",inactive,campaign,5219,20327.07415214,6732,15758.61556744,1.28990228,6,24,0.35650624,4420.29166667,0.08912656,17681.16666667,6,0,,,0,,,,,106087,36,2025-10-26,2025-11-25
"RMODA - BSD || TOF || CBO || Sales || 18/11/25 (PP Drop Pin by Radius) - Brief Creative",inactive,campaign,967,43087.90072389,1133,36774.93380406,1.17166494,1,5,0.44130627,8333.2,0.08826125,41666,1,0,,,0,,,,,41666,12,2025-10-26,2025-11-25
