Ads,"Delivery status","Delivery level",Reach,"Cost per 1,000 Accounts Center accounts reached",Impressions,"CPM (cost per 1,000 impressions)",Frequency,"Link clicks","Clicks (all)","CTR (all)","CPC (all)","CTR (link click-through rate)","CPC (cost per link click)","Outbound clicks","* OC→WA landing ratio","Messaging conversations started","Cost per messaging conversation started","Instagram follows","* COST /Follow (IDR)","Result type",Results,"Cost per result","Amount spent (IDR)","Reporting starts","Reporting ends"
,,,505657,38767.70419474,1076623,18208.00874587,2.12915672,15000,19521,1.81316951,1004.20885201,1.39324536,1306.8774,1852,0.23542117,436,44961.37844037,742,26419.35444744,mixed,,,19603161,2025-12-26,2026-01-25
"ADS 1 || 15/12/25; ADS 1 || 30/11/25;...and 7 more ads",active,ad,34614,122147.39700699,66237,63831.54430303,1.91358988,310,1428,2.15589474,2960.79131653,0.46801637,13638.74193548,308,0.37662338,116,36448.36206897,118,35830.59322034,"Messaging conversations started",116,36448.36206897,4228010,2025-12-26,2026-01-25
"NCC || BOF || Ads 2 || 15/12/25 (manual upload); NCC || BOF || Ads 2 || 30/11/25 (manual upload);...and 11 more ads",active,ad,34388,97610.85262301,81718,41075.91962603,2.37635222,219,796,0.9740816,4216.88693467,0.26799481,15327.13242009,219,0.29680365,65,51640.64615385,25,134265.68,"Messaging conversations started",65,51640.64615385,3356642,2025-12-26,2026-01-25
"SPPF || Ads 1 || 30/11/25; SPPF || Ads 1 || 31/10/25;...and 9 more ads",active,ad,38309,80226.34367903,76288,40286.68991191,1.99138584,438,1187,1.55594589,2589.20893008,0.5741401,7016.87442922,436,0.21330275,93,33047.21505376,75,40978.54666667,,,,3073391,2025-12-26,2026-01-25
"Ads 3 - (visit profile, sppf);...and 2 more ads",active,ad,239143,4685.59397515,370045,3028.08307098,1.5473796,6849,6602,1.78410734,169.72538625,1.85085598,163.60446781,,,,,111,10094.83783784,"Instagram profile visits",6850,163.58058394,1120527,2025-12-26,2026-01-25
"Ads 1 - 19/12/25;...and 2 more ads",active,ad,108979,10224.26339019,159418,6989.36130174,1.46283229,4629,4560,2.86040472,244.34868421,2.90368716,240.70641607,,,,,280,3979.39285714,"Instagram profile visits",4761,234.03276623,1114230,2025-12-26,2026-01-25
"Ads 4 - (SPPF, Ordinar car);...and 2 more ads",active,ad,11176,73413.56478168,15248,53808.3683106,1.36435218,57,145,0.95094439,5658.4137931,0.37381952,14394.21052632,50,0.26,13,63113.07692308,14,58605,"Messaging conversations started",13,63113.07692308,820470,2025-12-26,2026-01-25
"Ads ppf 2",active,ad,10923,55310.26274833,15168,39830.82805907,1.3886295,122,203,1.33834388,2976.12807882,0.80432489,4952.08196721,122,0.21311475,26,23236.69230769,5,120830.8,"Messaging conversations started",26,23236.69230769,604154,2025-12-26,2026-01-25
"Ads ppf 1",active,ad,7812,76908.47414235,12696,47322.70006301,1.62519201,118,169,1.33112791,3555.08284024,0.92942659,5091.60169492,118,0.16949153,20,30040.45,3,200269.66666667,"Messaging conversations started",20,30040.45,600809,2025-12-26,2026-01-25
"Ads ppf 3",active,ad,7638,77764.33621367,12330,48172.26277372,1.61429694,85,167,1.35442011,3556.67065868,0.68937551,6987.81176471,85,0.18823529,16,37122.75,3,197988,"Messaging conversations started",16,37122.75,593964,2025-12-26,2026-01-25
"UGC || Ads 2 || 15/12/25 (manual upload);...and 8 more ads",active,ad,9119,54532.07588551,12677,39226.7886724,1.39017436,125,304,2.3980437,1635.78289474,0.98603771,3978.224,125,0.12,15,33151.86666667,21,23679.9047619,,,,497278,2025-12-26,2026-01-25
"Ads 2 - @hobibarbar;...and 2 more ads",active,ad,84697,5543.49032433,124525,3770.4637623,1.47024098,1598,2754,2.2116041,170.48547567,1.28327645,293.81539424,,,,,46,10206.89130435,"Instagram profile visits",1569,299.24601657,469517,2025-12-26,2026-01-25
"Ads 1 - (PPF, before-after, benefit ppf);...and 2 more ads",active,ad,13298,32324.25928711,17007,25274.76921268,1.27891412,47,113,0.66443229,3803.96460177,0.27635679,9145.70212766,39,0.23076923,9,47760.88888889,0,,"Messaging conversations started",9,47760.88888889,429848,2025-12-26,2026-01-25
"sppf (mu) - 12/1/26",active,ad,5169,50797.25285355,10286,25527.02702703,1.98994003,51,193,1.87633677,1360.47150259,0.49581956,5148.45098039,50,0.14,7,37510.14285714,6,43761.83333333,"Messaging conversations started",7,37510.14285714,262571,2025-12-26,2026-01-25
