"Campaign name",Ads,Age,Gender,Objective,"Delivery status","Delivery level",Reach,"Cost per 1,000 Accounts Center accounts reached",Impressions,"CPM (cost per 1,000 impressions)",Frequency,"Link clicks","Clicks (all)","CTR (all)","CPC (all)","CTR (link click-through rate)","CPC (cost per link click)","Outbound clicks","* OC→WA landing ratio","Messaging conversations started","Cost per messaging conversation started","Instagram follows","* COST /Follow (IDR)","Result type",Results,"Cost per result","Amount spent (IDR)","Reporting starts","Reporting ends"
,,,,,,,505657,38767.69628424,1076621,18208.0388549,2.12915277,15000,19521,1.81317288,1004.2086471,1.39324795,1306.87713333,1852,0.23542117,436,44961.36926606,742,26419.3490566,mixed,,,19603157,2025-12-26,2026-01-25
"RMODA - BSD || TOF || ABO || Traffic || Collaboration Post || 6/12/25 - [ Visit Profile ]","Ads 3 - (visit profile, sppf);...and 2 more ads",25-34,male,LINK_CLICKS,active,campaign,210491,4589.36961675,326869,2955.37661877,1.55288825,5991,5777,1.7673747,167.21845248,1.83284435,161.24536805,,,,,88,10977.51136364,"Instagram profile visits",6010,160.73560732,966021,2025-12-26,2026-01-25
"RMODA - BSD || TOF || ABO || Winning ADS & ADSET include report MOM || 15/12/25 (Drop Pin + R-LT)","ADS 1 || 15/12/25;...and 3 more ads",35-44,male,OUTCOME_SALES,active,campaign,7403,118138.32230177,11576,75550.967519,1.5636904,50,243,2.0991707,3599.08641975,0.43192813,17491.56,50,,23,38025.13043478,24,36440.75,"Messaging conversations started",23,38025.13043478,874578,2025-12-26,2026-01-25
"RMODA - BSD || TOF || ABO || Traffic || Collaboration Post || 6/12/25 - [ Visit Profile ]","Ads 1 - 19/12/25;...and 2 more ads",25-34,male,LINK_CLICKS,active,campaign,89547,9626.81050175,133389,6462.69182616,1.48959764,3782,3728,2.79483316,231.23712446,2.83531626,227.93548387,,,,,201,4288.8159204,"Instagram profile visits",3900,221.03897436,862052,2025-12-26,2026-01-25
"RMODA - BSD || TOF || ABO || Winning ADS & ADSET include report MOM || 15/12/25 (Drop Pin + R-LT)","SPPF || Ads 1 || 15/12/25;...and 3 more ads",25-34,male,OUTCOME_SALES,active,campaign,16565,51185.08904316,31640,26797.75600506,1.91005131,164,429,1.35587863,1976.41258741,0.51833123,5170.00609756,163,,33,25693.36363636,17,49875.35294118,"Messaging conversations started",33,25693.36363636,847881,2025-12-26,2026-01-25
"RMODA - BSD || TOF || ABO || Winning ADS & ADSET include report MOM || 15/12/25 (Drop Pin + R-LT)","SPPF || Ads 1 || 15/12/25;...and 3 more ads",35-44,male,OUTCOME_SALES,active,campaign,10413,78437.33794296,17731,46064.40697084,1.70277538,126,303,1.70887147,2695.6039604,0.71061982,6482.28571429,125,,31,26347.35483871,26,31414.15384615,"Messaging conversations started",31,26347.35483871,816768,2025-12-26,2026-01-25
"RMODA - BSD || TOF || ABO || Winning ADS & ADSET include report MOM || 15/12/25 (Drop Pin + R-LT)","ADS 1 || 15/12/25;...and 3 more ads",25-34,male,OUTCOME_SALES,active,campaign,12660,61442.49605055,21000,37041.04761905,1.65876777,79,430,2.04761905,1808.98139535,0.37619048,9846.35443038,77,,17,45756.58823529,29,26822.82758621,"Messaging conversations started",17,45756.58823529,777862,2025-12-26,2026-01-25
"RMODA - BSD || TOF || CBO || Winning ADS & ADSET include report MOM || 30/11/25 (Drop Pin + R-LT)","ADS 1 || 30/11/25;...and 3 more ads",35-44,male,OUTCOME_SALES,active,campaign,5395,137115.47729379,8617,85846.3502379,1.59721965,45,188,2.18173378,3934.77659574,0.52222351,16438.62222222,45,,21,35225.61904762,22,33624.45454545,"Messaging conversations started",21,35225.61904762,739738,2025-12-26,2026-01-25
"RMODA - BSD || BOF || CBO || Sales || 17/11/25 - Brief Creative","NCC || BOF || Ads 2 || 17/11/25 (manual upload); NCC || BOF || Ads 2 || 17/11/25 (manual upload) - Copy;...and 1 more ad",25-34,male,OUTCOME_SALES,inactive,campaign,10906,66341.1883367,23577,30687.4072189,2.16183752,51,227,0.96280273,3187.29955947,0.21631251,14186.60784314,51,,22,32887.13636364,5,144703.4,"Messaging conversations started",22,32887.13636364,723517,2025-12-26,2026-01-25
"RMODA - BSD || TOF || CBO || Winning ADS & ADSET include report MOM || 30/11/25 (Drop Pin + R-LT)","ADS 1 || 30/11/25;...and 3 more ads",25-34,male,OUTCOME_SALES,active,campaign,9618,74145.76835101,16022,44509.67419798,1.66583489,65,329,2.05342654,2167.58054711,0.40569217,10971.29230769,65,,24,29713.91666667,19,37533.36842105,"Messaging conversations started",24,29713.91666667,713134,2025-12-26,2026-01-25
"RMODA - BSD || BOF || CBO || Sales || 17/11/25 - Brief Creative","NCC || BOF || Ads 2 || 17/11/25 (manual upload); NCC || BOF || Ads 2 || 17/11/25 (manual upload) - Copy;...and 1 more ad",35-44,male,OUTCOME_SALES,inactive,campaign,4496,109712.41103203,8486,58127.15060099,1.88745552,26,70,0.82488805,7046.67142857,0.30638699,18971.80769231,26,,7,70466.71428571,1,493267,"Messaging conversations started",7,70466.71428571,493267,2025-12-26,2026-01-25
"RMODA - BSD || TOF || ABO || Traffic || Collaboration Post || 6/12/25 - [ Visit Profile ]","Ads 2 - @hobibarbar;...and 2 more ads",25-34,male,LINK_CLICKS,active,campaign,72641,5315.40039372,106978,3609.30284731,1.47269448,1350,2319,2.16773542,166.50107805,1.26194171,286.01185185,,,,,30,12870.53333333,"Instagram profile visits",1328,290.75,386116,2025-12-26,2026-01-25
"RMODA - BSD || TOF || CBO || Winning ADS & ADSET include report MOM || 30/11/25 (Drop Pin + R-LT)","ADS 1 || 30/11/25;...and 3 more ads",45-54,male,OUTCOME_SALES,active,campaign,1637,232648.74770922,2596,146704.93066256,1.58582773,20,59,2.27272727,6455.01694915,0.77041602,19042.3,20,,6,63474.33333333,7,54406.57142857,"Messaging conversations started",6,63474.33333333,380846,2025-12-26,2026-01-25
"RMODA - BSD || TOF || ABO || Traffic  || 17/12/25 - [ New Creative ]","Ads ppf 2",25-34,male,LINK_CLICKS,active,campaign,7909,46587.30560121,11082,33248.42086266,1.40118852,89,149,1.34452265,2472.87919463,0.80310413,4139.98876404,89,,16,23028.6875,5,73691.8,"Messaging conversations started",16,23028.6875,368459,2025-12-26,2026-01-25
