"Campaign name",Objective,Placement,Platform,Ads,"Delivery status","Delivery level",Reach,"Cost per 1,000 Accounts Center accounts reached",Impressions,"CPM (cost per 1,000 impressions)",Frequency,"Link clicks","Clicks (all)","CTR (all)","CPC (all)","CTR (link click-through rate)","CPC (cost per link click)","Outbound clicks","* OC→WA landing ratio","Messaging conversations started","Cost per messaging conversation started","Instagram follows","* COST /Follow (IDR)","Result type",Results,"Cost per result","Amount spent (IDR)","Reporting starts","Reporting ends"
,,,,,,,505657,38767.69628424,1076621,18208.0388549,2.12915277,15000,19521,1.81317288,1004.2086471,1.39324795,1306.87713333,1852,0.23542117,436,44961.36926606,742,26419.3490566,mixed,,,19603157,2025-12-26,2026-01-25
"RMODA - BSD || TOF || ABO || Winning ADS & ADSET include report MOM || 15/12/25 (Drop Pin + R-LT)",OUTCOME_SALES,"Instagram Reels",instagram,"ADS 1 || 15/12/25;...and 3 more ads",active,campaign,18325,82257.40791269,24817,60739.29161462,1.35427012,81,563,2.2686062,2677.38365897,0.32638917,18609.4691358,79,,41,36765.04878049,45,33497.04444444,"Messaging conversations started",41,36765.04878049,1507367,2025-12-26,2026-01-25
"RMODA - BSD || TOF || CBO || Winning ADS & ADSET include report MOM || 30/11/25 (Drop Pin + R-LT)",OUTCOME_SALES,"Instagram Reels",instagram,"ADS 1 || 30/11/25;...and 3 more ads",active,campaign,13794,106330.43352182,19817,74013.32189534,1.43663912,70,435,2.19508503,3371.77471264,0.35323207,20953.17142857,70,,42,34921.95238095,40,36668.05,"Messaging conversations started",42,34921.95238095,1466722,2025-12-26,2026-01-25
"RMODA - BSD || TOF || ABO || Winning ADS & ADSET include report MOM || 15/12/25 (Drop Pin + R-LT)",OUTCOME_SALES,"Instagram Reels",instagram,"SPPF || Ads 1 || 15/12/25;...and 3 more ads",active,campaign,17530,56305.4763263,25145,39253.72837542,1.43439817,57,314,1.24875721,3143.42356688,0.22668523,17316.40350877,56,,29,34035.68965517,22,44865.22727273,"Messaging conversations started",29,34035.68965517,987035,2025-12-26,2026-01-25
"RMODA - BSD || TOF || ABO || Traffic || Collaboration Post || 6/12/25 - [ Visit Profile ]",LINK_CLICKS,"Instagram Reels",instagram,"Ads 1 - 19/12/25;...and 2 more ads",active,campaign,82855,10094.30933559,118424,7062.45355671,1.42929214,3712,3661,3.09143417,228.45233543,3.13449976,225.31357759,,,,,199,4202.83417085,"Instagram profile visits",3789,220.73475851,836364,2025-12-26,2026-01-25
"RMODA - BSD || TOF || ABO || Winning ADS & ADSET include report MOM || 15/12/25 (Drop Pin + R-LT)",OUTCOME_SALES,Feed,instagram,"SPPF || Ads 1 || 15/12/25;...and 3 more ads",active,campaign,11473,65299.92155496,16855,44448.88757045,1.46910137,35,211,1.25185405,3550.64454976,0.20765352,21405.31428571,35,,20,37459.3,24,31216.08333333,"Messaging conversations started",20,37459.3,749186,2025-12-26,2026-01-25
"RMODA - BSD || BOF || CBO || Sales || 17/11/25 - Brief Creative",OUTCOME_SALES,"Instagram Reels",instagram,"NCC || BOF || Ads 2 || 17/11/25 (manual upload); NCC || BOF || Ads 2 || 17/11/25 (manual upload) - Copy;...and 1 more ad",inactive,campaign,14491,50595.26602719,22179,33057.21628568,1.53053619,37,202,0.91077145,3629.58415842,0.16682447,19815.56756757,37,,14,52369.71428571,7,104739.42857143,"Messaging conversations started",14,52369.71428571,733176,2025-12-26,2026-01-25
"RMODA - BSD || TOF || ABO || Traffic || Collaboration Post || 6/12/25 - [ Visit Profile ]",LINK_CLICKS,"Instagram Reels",instagram,"Ads 3 - (visit profile, sppf);...and 2 more ads",active,campaign,164179,3881.58656101,227754,2798.08477568,1.38722979,4058,3937,1.72861948,161.86817374,1.78174697,157.04164613,,,,,41,15543.29268293,"Instagram profile visits",3994,159.55808713,637275,2025-12-26,2026-01-25
"RMODA - BSD || BOF || CBO || Sales || 17/11/25 - Brief Creative",OUTCOME_SALES,Feed,instagram,"NCC || BOF || Ads 2 || 17/11/25 (manual upload); NCC || BOF || Ads 2 || 17/11/25 (manual upload) - Copy;...and 1 more ad",inactive,campaign,8343,67036.79731511,12747,43876.04926649,1.52786767,29,123,0.96493293,4547.05691057,0.22750451,19285.79310345,29,,13,43022.15384615,5,111857.6,"Messaging conversations started",13,43022.15384615,559288,2025-12-26,2026-01-25
"RMODA - BSD || TOF || ABO || Traffic || Collaboration Post || 6/12/25 - [ Visit Profile ]",LINK_CLICKS,"Instagram Stories",instagram,"Ads 3 - (visit profile, sppf);...and 2 more ads",active,campaign,96161,4826.58250226,134747,3444.44774281,1.40126455,2687,2562,1.90134103,181.15886027,1.99410748,172.73129885,,,,,64,7252.015625,"Instagram profile visits",2735,169.69981718,464129,2025-12-26,2026-01-25
"RMODA - BSD || TOF || ABO || Winning ADS & ADSET include report MOM || 15/12/25 (Drop Pin + R-LT)",OUTCOME_SALES,"Instagram Stories",instagram,"SPPF || Ads 1 || 15/12/25;...and 3 more ads",active,campaign,9593,47677.89012822,15378,29742.09910261,1.60304389,235,357,2.32149824,1281.15966387,1.52815711,1946.27234043,234,,23,19885.82608696,10,45737.4,"Messaging conversations started",23,19885.82608696,457374,2025-12-26,2026-01-25
"RMODA - BSD || BOF || CBO || Sales || 17/11/25 - Brief Creative",OUTCOME_SALES,"Instagram Stories",instagram,"NCC || BOF || Ads 2 || 17/11/25 (manual upload); NCC || BOF || Ads 2 || 17/11/25 (manual upload) - Copy;...and 1 more ad",inactive,campaign,7641,56016.48998822,14479,29561.57193176,1.89490904,55,131,0.90475862,3267.34351145,0.37986049,7782.21818182,55,,15,28534.8,4,107005.5,"Messaging conversations started",15,28534.8,428022,2025-12-26,2026-01-25
"RMODA - BSD || TOF || CBO || Winning ADS & ADSET include report MOM || 30/11/25 (Drop Pin + R-LT)",OUTCOME_SALES,Feed,instagram,"ADS 1 || 30/11/25;...and 3 more ads",active,campaign,3982,107194.123556,5444,78406.86994857,1.36715218,20,101,1.85525349,4226.20792079,0.36737693,21342.35,20,,9,47427.44444444,10,42684.7,"Messaging conversations started",9,47427.44444444,426847,2025-12-26,2026-01-25
"RMODA - BSD || TOF || ABO || Winning ADS & ADSET include report MOM || 15/12/25 (Drop Pin + R-LT)",OUTCOME_SALES,Feed,instagram,"ADS 1 || 15/12/25;...and 3 more ads",active,campaign,4926,84127.48680471,6702,61834.07937929,1.36053593,21,107,1.59653835,3873.00934579,0.3133393,19733.9047619,21,,7,59201.71428571,9,46045.77777778,"Messaging conversations started",7,59201.71428571,414412,2025-12-26,2026-01-25
"RMODA - BSD || TOF || ABO || Sales || Collaboration Post & Manual Upload || 6/12/25",OUTCOME_SALES,"Instagram Reels",instagram,"Ads 4 - (SPPF, Ordinar car);...and 2 more ads",active,campaign,4574,85260.38478356,5509,70789.79851153,1.20441627,19,67,1.21619169,5820.6119403,0.34489018,20525.31578947,19,,5,77996.2,8,48747.625,"Messaging conversations started",5,77996.2,389981,2025-12-26,2026-01-25
"RMODA - BSD || TOF || CBO || Winning ADS & ADSET include report MOM || 30/11/25 (Drop Pin + R-LT)",OUTCOME_SALES,"Instagram Reels",instagram,"SPPF || Ads 1 || 30/11/25;...and 3 more ads",active,campaign,6642,56479.67479675,8075,46456.71826625,1.21574827,14,94,1.16408669,3990.82978723,0.17337461,26795.57142857,14,,7,53591.14285714,6,62523,"Messaging conversations started",7,53591.14285714,375138,2025-12-26,2026-01-25
"RMODA - BSD || TOF || ABO || Winning ADS & ADSET include report MOM || 15/12/25 (Drop Pin + R-LT)",OUTCOME_SALES,"Instagram Reels",instagram,"NCC || BOF || Ads 2 || 15/12/25 (manual upload);...and 3 more ads",active,campaign,6964,51138.28259621,9076,39238.32084619,1.30327398,25,97,1.06875275,3671.41237113,0.27545174,14245.08,25,,7,50875.28571429,4,89031.75,"Messaging conversations started",7,50875.28571429,356127,2025-12-26,2026-01-25
