"Campaign name",Ads,Objective,Region,"Delivery status","Delivery level",Reach,"Cost per 1,000 Accounts Center accounts reached",Impressions,"CPM (cost per 1,000 impressions)",Frequency,"Link clicks","Clicks (all)","CTR (all)","CPC (all)","CTR (link click-through rate)","CPC (cost per link click)","Outbound clicks","* OC→WA landing ratio","Messaging conversations started","Cost per messaging conversation started","Instagram follows","* COST /Follow (IDR)","Result type",Results,"Cost per result","Amount spent (IDR)","Reporting starts","Reporting ends"
,,,,,,505657,38767.69628424,1076621,18208.0388549,2.12915277,15000,19521,1.81317288,1004.2086471,1.39324795,1306.87713333,1852,0.23542117,436,44961.36926606,742,26419.3490566,mixed,,,19603157,2025-12-26,2026-01-25
"RMODA - BSD || TOF || ABO || Winning ADS & ADSET include report MOM || 15/12/25 (Drop Pin + R-LT)","ADS 1 || 15/12/25;...and 3 more ads",OUTCOME_SALES,Jakarta,active,campaign,12952,98868.36009883,20132,63607.3415458,1.55435454,82,423,2.10113253,3027.28841608,0.40731174,15616.37804878,81,,,,32,40016.96875,,,,1280543,2025-12-26,2026-01-25
"RMODA - BSD || TOF || ABO || Winning ADS & ADSET include report MOM || 15/12/25 (Drop Pin + R-LT)","SPPF || Ads 1 || 15/12/25;...and 3 more ads",OUTCOME_SALES,Jakarta,active,campaign,18103,67133.67950064,30777,39487.96178965,1.70010495,159,475,1.5433603,2558.57052632,0.51661955,7643.52830189,158,,,,33,36827.90909091,,,,1215321,2025-12-26,2026-01-25
"RMODA - BSD || TOF || CBO || Winning ADS & ADSET include report MOM || 30/11/25 (Drop Pin + R-LT)","ADS 1 || 30/11/25;...and 3 more ads",OUTCOME_SALES,Jakarta,active,campaign,10388,116677.8013092,16206,74790.13945452,1.56006931,77,346,2.13501172,3503.03179191,0.47513267,15740.8961039,77,,,,31,39098.35483871,,,,1212049,2025-12-26,2026-01-25
"RMODA - BSD || BOF || CBO || Sales || 17/11/25 - Brief Creative","NCC || BOF || Ads 2 || 17/11/25 (manual upload); NCC || BOF || Ads 2 || 17/11/25 (manual upload) - Copy;...and 1 more ad",OUTCOME_SALES,Jakarta,inactive,campaign,16391,71806.60118358,33357,35284.40807027,2.03508023,81,301,0.90235932,3910.23920266,0.24282759,14530.64197531,81,,,,14,84070.14285714,,,,1176982,2025-12-26,2026-01-25
"RMODA - BSD || TOF || ABO || Winning ADS & ADSET include report MOM || 15/12/25 (Drop Pin + R-LT)","SPPF || Ads 1 || 15/12/25;...and 3 more ads",OUTCOME_SALES,Banten,active,campaign,10927,57900.79619292,17721,35702.38699848,1.62176261,114,277,1.56311721,2284.05054152,0.64330455,5549.84210526,114,,,,17,37216.58823529,,,,632682,2025-12-26,2026-01-25
"RMODA - BSD || TOF || ABO || Winning ADS & ADSET include report MOM || 15/12/25 (Drop Pin + R-LT)","ADS 1 || 15/12/25;...and 3 more ads",OUTCOME_SALES,Banten,active,campaign,8055,75476.84667908,12239,49674.48320941,1.51942893,58,276,2.2550862,2202.77536232,0.47389493,10482.17241379,57,,,,23,26433.30434783,,,,607966,2025-12-26,2026-01-25
"RMODA - BSD || TOF || ABO || Traffic || Collaboration Post || 6/12/25 - [ Visit Profile ]","Ads 1 - 19/12/25;...and 2 more ads",LINK_CLICKS,Jakarta,active,campaign,59339,10082.13822275,82707,7233.53525095,1.39380509,2510,2473,2.99007339,241.91831783,3.03480963,238.35219124,,,,,160,3739.15,,,,598264,2025-12-26,2026-01-25
"RMODA - BSD || TOF || ABO || Traffic || Collaboration Post || 6/12/25 - [ Visit Profile ]","Ads 3 - (visit profile, sppf);...and 2 more ads",LINK_CLICKS,Jakarta,active,campaign,134727,4391.76260141,195290,3029.79671258,1.44952385,3638,3510,1.79732705,168.57236467,1.8628706,162.64128642,,,,,66,8964.98484848,,,,591689,2025-12-26,2026-01-25
"RMODA - BSD || TOF || CBO || Winning ADS & ADSET include report MOM || 30/11/25 (Drop Pin + R-LT)","SPPF || Ads 1 || 30/11/25;...and 3 more ads",OUTCOME_SALES,Jakarta,active,campaign,7376,72129.88069414,10509,50626.12998382,1.42475597,62,192,1.82700542,2770.98958333,0.5899705,8581.12903226,62,,,,12,44335.83333333,,,,532030,2025-12-26,2026-01-25
