Ads,"Delivery status","Delivery level",Reach,"Cost per 1,000 Accounts Center accounts reached",Impressions,"CPM (cost per 1,000 impressions)",Frequency,"Link clicks","Clicks (all)","CTR (all)","CPC (all)","CTR (link click-through rate)","CPC (cost per link click)","Outbound clicks","* OC→WA landing ratio","Messaging conversations started","Cost per messaging conversation started","Instagram follows","* COST /Follow (IDR)","Result type",Results,"Cost per result","Amount spent (IDR)","Reporting starts","Reporting ends"
,,,328426,54850.47773319,787193,22884.25201952,2.39686566,12141,15985,2.03063289,1126.95170472,1.54231554,1483.75941026,1495,0.21672241,324,55599.76234568,450,40031.82888889,mixed,,,18014323,2025-11-26,2025-12-25
"NCC || BOF || Ads 2 || 15/12/25 (manual upload); NCC || BOF || Ads 2 || 30/11/25 (manual upload);...and 13 more ads",active,ad,54262,115278.51903726,162613,38467.0536796,2.99681177,436,1349,0.82957697,4636.94810971,0.26812124,14346.88761468,431,0.2412993,104,60146.56730769,70,89360.61428571,"Messaging conversations started",104,60146.56730769,6255243,2025-11-26,2025-12-25
"SPPF || Ads 1 || 30/11/25; SPPF || Ads 1 || 31/10/25;...and 14 more ads",active,ad,36131,107686.75098946,77474,50221.10643571,2.14425286,478,1262,1.62893358,3083.06656101,0.61698118,8139.81171548,475,0.18736842,89,43717.19101124,72,54039.30555556,,,,3890830,2025-11-26,2025-12-25
"SPPF || Ads 2 || 16/12/25;...and 3 more ads",active,ad,12878,98442.69296475,25750,49232.81553398,1.99953409,77,513,1.99223301,2471.23781676,0.29902913,16464.22077922,77,0.14285714,11,115249.54545455,17,74573.23529412,"Messaging conversations started",11,115249.54545455,1267745,2025-11-26,2025-12-25
"Ads 4 - (SPPF, Ordinar car);...and 2 more ads",active,ad,15293,76138.10239979,25406,45830.90608518,1.66128294,97,292,1.1493348,3987.60273973,0.38179957,12003.91752577,94,0.22340426,21,55446.66666667,15,77625.33333333,"Messaging conversations started",21,55446.66666667,1164380,2025-11-26,2025-12-25
"Ads 3 - (visit profile, sppf);...and 2 more ads",active,ad,177847,5931.36235078,280975,3754.33757452,1.57986921,7714,7493,2.6667853,140.78139597,2.74543999,136.7481203,1,2,2,527437.5,109,9677.75229358,"Instagram profile visits",7753,136.06023475,1054875,2025-11-26,2025-12-25
"ADS 1; ADS 1 || 15/12/25;...and 9 more ads",active,ad,9978,104531.87011425,16336,63847.88197845,1.63720184,86,348,2.13026445,2997.18103448,0.52644466,12128.12790698,85,0.30588235,26,40116.11538462,19,54895.73684211,"Messaging conversations started",26,40116.11538462,1043019,2025-11-26,2025-12-25
"UGC || Ads 1 || 30/11/25 (manual upload); UGC || Ads 1 || 31/10/25 (manual upload);...and 12 more ads",active,ad,6445,85311.55934833,9261,59370.80228917,1.43692785,30,117,1.26336249,4699.42735043,0.3239391,18327.76666667,30,0.33333333,10,54983.3,9,61092.55555556,,,,549833,2025-11-26,2025-12-25
"UGC || Ads 2 || 31/10/25 (manual upload); UGC || Ads 2 || 15/12/25 (manual upload);...and 11 more ads",active,ad,7551,60941.33227387,10400,44246.92307692,1.37730102,92,228,2.19230769,2018.28070175,0.88461538,5001.82608696,92,0.14130435,13,35397.53846154,11,41833.45454545,,,,460168,2025-11-26,2025-12-25
"Ads 2 - @hobibarbar;...and 2 more ads",active,ad,58677,7120.01295226,89136,4687.00637229,1.51909607,1237,2219,2.48945432,188.27444795,1.38776701,337.73726758,1,0,,,59,7081.03389831,"Instagram profile visits",1252,333.69089457,417781,2025-11-26,2025-12-25
