"Campaign name",Ads,Age,Gender,Objective,"Delivery status","Delivery level",Reach,"Cost per 1,000 Accounts Center accounts reached",Impressions,"CPM (cost per 1,000 impressions)",Frequency,"Link clicks","Clicks (all)","CTR (all)","CPC (all)","CTR (link click-through rate)","CPC (cost per link click)","Outbound clicks","* OC→WA landing ratio","Messaging conversations started","Cost per messaging conversation started","Instagram follows","* COST /Follow (IDR)","Result type",Results,"Cost per result","Amount spent (IDR)","Reporting starts","Reporting ends"
,,,,,,,328426,54850.47773319,787193,22884.25201952,2.39686566,12141,15985,2.03063289,1126.95170472,1.54231554,1483.75941026,1495,0.21672241,324,55599.76234568,450,40031.82888889,mixed,,,18014323,2025-11-26,2025-12-25
"RMODA - BSD || BOF || CBO || Sales || 20/11/25 - Brief Creative - VS 1","NCC || BOF || Ads 2 || 17/11/25 (manual upload);...and 2 more ads",25-34,male,OUTCOME_SALES,inactive,campaign,18290,78563.64133406,47935,29976.61416502,2.62083106,111,351,0.73224158,4093.81481481,0.23156358,12945.30630631,110,,24,59872.04166667,27,53219.59259259,"Messaging conversations started",24,59872.04166667,1436929,2025-11-26,2025-12-25
"RMODA - BSD || BOF || CBO || Sales || 20/11/25 - Brief Creative - VS 1","NCC || BOF || Ads 2 || 17/11/25 (manual upload);...and 2 more ads",35-44,male,OUTCOME_SALES,inactive,campaign,8379,130341.8068982,20010,54579.41029485,2.38811314,67,179,0.89455272,6101.30726257,0.33483258,16300.50746269,65,,20,54606.7,12,91011.16666667,"Messaging conversations started",20,54606.7,1092134,2025-11-26,2025-12-25
"RMODA - BSD || TOF || CBO || Winning ADS & ADSET include report MOM || 30/11/25 (Drop Pin + R-LT)","SPPF || Ads 1 || 30/11/25;...and 3 more ads",35-44,male,OUTCOME_SALES,active,campaign,8176,121661.08121331,16093,61809.54452246,1.96832192,82,253,1.5721121,3931.62450593,0.50953831,12130.5,81,,23,43247.86956522,22,45213.68181818,"Messaging conversations started",23,43247.86956522,994701,2025-11-26,2025-12-25
"RMODA - BSD || TOF || ABO || Traffic || Collaboration Post || 6/12/25 - [ Visit Profile ]","Ads 3 - (visit profile, sppf);...and 2 more ads",25-34,male,LINK_CLICKS,active,campaign,157222,5853.37293763,250134,3679.14397883,1.59096055,6834,6640,2.65457715,138.59623494,2.73213558,134.66183787,1,,2,460139.5,90,10225.32222222,"Instagram profile visits",6882,133.72260971,920279,2025-11-26,2025-12-25
"RMODA - BSD || BOF || CBO || Sales || 17/11/25 - Brief Creative","NCC || BOF || Ads 2 || 17/11/25 (manual upload); NCC || BOF || Ads 2 || 17/11/25 (manual upload) - Copy;...and 2 more ads",25-34,male,OUTCOME_SALES,inactive,campaign,11231,79619.98041136,24503,36493.98032894,2.18172914,71,219,0.89376811,4083.15981735,0.28976044,12594.53521127,71,,18,49678.44444444,11,81292,"Messaging conversations started",18,49678.44444444,894212,2025-11-26,2025-12-25
"RMODA - BSD || TOF || CBO || Winning ADS & ADSET include report MOM || 30/11/25 (Drop Pin + R-LT)","SPPF || Ads 1 || 30/11/25;...and 3 more ads",25-34,male,OUTCOME_SALES,active,campaign,11606,73905.65224884,24880,34475.44212219,2.14371877,153,389,1.56350482,2205.01028278,0.61495177,5606.20261438,152,,17,50455.82352941,13,65980.69230769,"Messaging conversations started",17,50455.82352941,857749,2025-11-26,2025-12-25
"RMODA - BSD || TOF || ABO || Winning ADS & ADSET include report MOM || 15/12/25 (Drop Pin + R-LT)","SPPF || Ads 2 || 16/12/25;...and 3 more ads",25-34,male,OUTCOME_SALES,active,campaign,8425,74415.43026706,16960,36966.39150943,2.01305638,44,348,2.05188679,1801.58045977,0.25943396,14248.86363636,44,,1,626950,5,125390,"Messaging conversations started",1,626950,626950,2025-11-26,2025-12-25
"RMODA - BSD || BOF || CBO || Sales || 17/11/25 - Brief Creative","NCC || BOF || Ads 2 || 17/11/25 (manual upload); NCC || BOF || Ads 2 || 17/11/25 (manual upload) - Copy;...and 2 more ads",35-44,male,OUTCOME_SALES,inactive,campaign,4791,122516.38488833,9611,61073.35344917,2.00605302,23,89,0.92602227,6595.23595506,0.23930912,25520.69565217,23,,5,117395.2,1,586976,"Messaging conversations started",5,117395.2,586976,2025-11-26,2025-12-25
"RMODA - BSD || TOF || CBO || Winning ADS & ADSET include report MOM || 30/11/25 (Drop Pin + R-LT)","SPPF || Ads 1 || 30/11/25;...and 3 more ads",45-54,male,OUTCOME_SALES,active,campaign,3283,164655.80261956,5975,90471.12970711,1.81998172,46,116,1.94142259,4660.04310345,0.76987448,11751.41304348,46,,15,36037.66666667,7,77223.57142857,"Messaging conversations started",15,36037.66666667,540565,2025-11-26,2025-12-25
"RMODA - BSD || TOF || ABO || Winning ADS & ADSET include report MOM || 15/12/25 (Drop Pin + R-LT)","SPPF || Ads 2 || 16/12/25;...and 3 more ads",35-44,male,OUTCOME_SALES,active,campaign,3687,113940.60211554,6544,64196.05745721,1.77488473,22,123,1.87958435,3415.43902439,0.33618582,19095.40909091,22,,8,52512.375,10,42009.9,"Messaging conversations started",8,52512.375,420099,2025-11-26,2025-12-25
"RMODA - BSD || BOF || CBO || Sales || 20/11/25 - Brief Creative - VS 1","NCC || BOF || Ads 2 || 17/11/25 (manual upload);...and 2 more ads",45-54,male,OUTCOME_SALES,inactive,campaign,2184,192265.10989011,4679,89742.89378072,2.14239927,11,47,1.00448814,8934.19148936,0.23509297,38173.36363636,11,,1,419907,2,209953.5,"Messaging conversations started",1,419907,419907,2025-11-26,2025-12-25
"RMODA - BSD || TOF || ABO || Traffic || Collaboration Post || 6/12/25 - [ Visit Profile ]","Ads 2 - @hobibarbar;...and 2 more ads",25-34,male,LINK_CLICKS,active,campaign,50196,6911.44712726,77015,4504.66792183,1.5342856,1069,1890,2.45406739,183.55925926,1.38804129,324.53414406,1,,,,46,7541.89130435,"Instagram profile visits",1080,321.2287037,346927,2025-11-26,2025-12-25
"RMODA - BSD || TOF || ABO || Sales || Collaboration Post & Manual Upload || 6/12/25","Ads 4 - (SPPF, Ordinar car);...and 2 more ads",35-44,male,OUTCOME_SALES,active,campaign,2451,121674.82660139,4336,68778.82841328,1.76907385,18,54,1.24538745,5522.68518519,0.41512915,16568.05555556,17,,5,59645,1,298225,"Messaging conversations started",5,59645,298225,2025-11-26,2025-12-25
"RMODA - BSD || BOF || CBO || Sales || 20/11/25 - Brief Creative - VS 1","NCC || BOF || Ads 2 || 17/11/25 (manual upload);...and 2 more ads",18-24,male,OUTCOME_SALES,inactive,campaign,8908,32939.38033229,19790,14826.88226377,2.22159856,41,112,0.5659424,2619.85714286,0.20717534,7156.68292683,39,,3,97808,3,97808,"Messaging conversations started",3,97808,293424,2025-11-26,2025-12-25
"RMODA - BSD || MOF || CBO || Traffic || SPPF || 31/10/25 (RT All Engaged IG)","SPPF || Ads 1 || 31/10/25;...and 3 more ads",35-44,male,LINK_CLICKS,inactive,campaign,2872,93088.09192201,4372,61150.27447392,1.52228412,34,87,1.98993596,3072.97701149,0.77767612,7863.20588235,34,,5,53469.8,6,44558.16666667,"Messaging conversations started",5,53469.8,267349,2025-11-26,2025-12-25
"RMODA - BSD || MOF || CBO || Traffic || SPPF || 31/10/25 (RT All Engaged IG)","SPPF || Ads 1 || 31/10/25;...and 3 more ads",25-34,male,LINK_CLICKS,inactive,campaign,5212,48992.70913277,8554,29851.53144728,1.64121259,43,111,1.29763853,2300.45045045,0.5026888,5938.37209302,43,,4,63837.5,6,42558.33333333,"Messaging conversations started",4,63837.5,255350,2025-11-26,2025-12-25
"RMODA - BSD || TOF || ABO || Sales || Collaboration Post & Manual Upload || 6/12/25","Ads 4 - (SPPF, Ordinar car);...and 2 more ads",45-54,male,OUTCOME_SALES,active,campaign,1448,172149.86187845,2460,101330.48780488,1.69889503,15,44,1.78861789,5665.29545455,0.6097561,16618.2,15,,4,62318.25,5,49854.6,"Messaging conversations started",4,62318.25,249273,2025-11-26,2025-12-25
"RMODA - BSD || TOF || ABO || Traffic || Collaboration Post || 6/12/25 - [ Visit Profile ]","Ads 1 - 19/12/25;...and 2 more ads",25-34,male,LINK_CLICKS,active,campaign,28104,8334.40079704,38368,6104.82693912,1.36521492,1421,1394,3.63323603,168.02725968,3.70360717,164.8346235,,,,,41,5712.92682927,"Instagram profile visits",1458,160.6515775,234230,2025-11-26,2025-12-25
"RMODA - BSD || BOF || CBO || Sales || 17/11/25 - Brief Creative","NCC || BOF || Ads 2 || 17/11/25 (manual upload); NCC || BOF || Ads 2 || 17/11/25 (manual upload) - Copy;...and 2 more ads",18-24,male,OUTCOME_SALES,inactive,campaign,6953,33685.7471595,14808,15816.92328471,2.12972817,33,93,0.6280389,2518.46236559,0.22285251,7097.48484848,33,,2,117108.5,6,39036.16666667,"Messaging conversations started",2,117108.5,234217,2025-11-26,2025-12-25
"RMODA - BSD || TOF || ABO || Sales || Collaboration Post & Manual Upload || 6/12/25","Ads 4 - (SPPF, Ordinar car);...and 2 more ads",25-34,male,OUTCOME_SALES,active,campaign,3348,68272.70011947,6078,37607.27212899,1.81541219,21,73,1.20105298,3131.19178082,0.34550839,10884.61904762,21,,1,228577,3,76192.33333333,"Messaging conversations started",1,228577,228577,2025-11-26,2025-12-25
