"Campaign name",Objective,Placement,Platform,Ads,"Delivery status","Delivery level",Reach,"Cost per 1,000 Accounts Center accounts reached",Impressions,"CPM (cost per 1,000 impressions)",Frequency,"Link clicks","Clicks (all)","CTR (all)","CPC (all)","CTR (link click-through rate)","CPC (cost per link click)","Outbound clicks","* OC→WA landing ratio","Messaging conversations started","Cost per messaging conversation started","Instagram follows","* COST /Follow (IDR)","Result type",Results,"Cost per result","Amount spent (IDR)","Reporting starts","Reporting ends"
,,,,,,,328426,54850.47773319,787193,22884.25201952,2.39686566,12141,15985,2.03063289,1126.95170472,1.54231554,1483.75941026,1495,0.21672241,324,55599.76234568,450,40031.82888889,mixed,,,18014323,2025-11-26,2025-12-25
"RMODA - BSD || BOF || CBO || Sales || 20/11/25 - Brief Creative - VS 1",OUTCOME_SALES,"Instagram Reels",instagram,"NCC || BOF || Ads 2 || 17/11/25 (manual upload);...and 2 more ads",inactive,campaign,22053,59530.99351562,34814,37710.03044752,1.57865143,72,300,0.8617223,4376.12333333,0.20681335,18233.84722222,71,,21,62516.04761905,18,72935.38888889,"Messaging conversations started",21,62516.04761905,1312837,2025-11-26,2025-12-25
"RMODA - BSD || BOF || CBO || Sales || 20/11/25 - Brief Creative - VS 1",OUTCOME_SALES,"Instagram Stories",instagram,"NCC || BOF || Ads 2 || 17/11/25 (manual upload);...and 2 more ads",inactive,campaign,16654,72135.46295184,36924,32535.58661033,2.21712502,143,291,0.7881053,4128.32989691,0.38728198,8401.00699301,142,,24,50056,12,100112,"Messaging conversations started",24,50056,1201344,2025-11-26,2025-12-25
"RMODA - BSD || BOF || CBO || Sales || 20/11/25 - Brief Creative - VS 1",OUTCOME_SALES,Feed,instagram,"NCC || BOF || Ads 2 || 17/11/25 (manual upload);...and 2 more ads",inactive,campaign,14498,78404.19368189,25122,45247.35291776,1.73279073,43,192,0.76427036,5920.33333333,0.17116472,26434.97674419,40,,16,71044,18,63150.22222222,"Messaging conversations started",16,71044,1136704,2025-11-26,2025-12-25
"RMODA - BSD || TOF || CBO || Winning ADS & ADSET include report MOM || 30/11/25 (Drop Pin + R-LT)",OUTCOME_SALES,"Instagram Reels",instagram,"SPPF || Ads 1 || 30/11/25;...and 3 more ads",active,campaign,12445,84740.05624749,17855,59064.12769532,1.43471274,44,274,1.53458415,3848.86861314,0.24642957,23967.95454545,43,,24,43941.25,14,75327.85714286,"Messaging conversations started",24,43941.25,1054590,2025-11-26,2025-12-25
"RMODA - BSD || TOF || CBO || Winning ADS & ADSET include report MOM || 30/11/25 (Drop Pin + R-LT)",OUTCOME_SALES,Feed,instagram,"SPPF || Ads 1 || 30/11/25;...and 3 more ads",active,campaign,10233,101219.29053064,16835,61525.21532522,1.6451676,41,219,1.3008613,4729.57534247,0.24354024,25262.85365854,40,,25,41431.08,23,45033.7826087,"Messaging conversations started",25,41431.08,1035777,2025-11-26,2025-12-25
"RMODA - BSD || BOF || CBO || Sales || 17/11/25 - Brief Creative",OUTCOME_SALES,"Instagram Reels",instagram,"NCC || BOF || Ads 2 || 17/11/25 (manual upload); NCC || BOF || Ads 2 || 17/11/25 (manual upload) - Copy;...and 2 more ads",inactive,campaign,13995,57137.40621651,20331,39330.97240667,1.45273312,40,193,0.94928926,4143.20207254,0.19674389,19990.95,40,,10,79963.8,8,99954.75,"Messaging conversations started",10,79963.8,799638,2025-11-26,2025-12-25
"RMODA - BSD || TOF || ABO || Winning ADS & ADSET include report MOM || 15/12/25 (Drop Pin + R-LT)",OUTCOME_SALES,"Instagram Reels",instagram,"SPPF || Ads 2 || 16/12/25;...and 3 more ads",active,campaign,9887,80699.90897138,16194,49270.10003705,1.63790836,38,391,2.4144745,2040.61381074,0.23465481,20996.84210526,38,,8,99735,13,61375.38461538,"Messaging conversations started",8,99735,797880,2025-11-26,2025-12-25
"RMODA - BSD || BOF || CBO || Sales || 17/11/25 - Brief Creative",OUTCOME_SALES,"Instagram Stories",instagram,"NCC || BOF || Ads 2 || 17/11/25 (manual upload); NCC || BOF || Ads 2 || 17/11/25 (manual upload) - Copy;...and 2 more ads",inactive,campaign,11194,68974.53993211,22337,34566.01155034,1.99544399,96,185,0.82822223,4173.51891892,0.42978019,8042.71875,96,,14,55150.07142857,8,96512.625,"Messaging conversations started",14,55150.07142857,772101,2025-11-26,2025-12-25
"RMODA - BSD || TOF || CBO || Winning ADS & ADSET include report MOM || 30/11/25 (Drop Pin + R-LT)",OUTCOME_SALES,"Instagram Stories",instagram,"SPPF || Ads 1 || 30/11/25;...and 3 more ads",active,campaign,8694,75936.2778928,16017,41218.08078916,1.84230504,230,334,2.08528439,1976.61676647,1.43597428,2870.39130435,230,,16,41261.875,10,66019,"Messaging conversations started",16,41261.875,660190,2025-11-26,2025-12-25
"RMODA - BSD || BOF || CBO || Sales || 17/11/25 - Brief Creative",OUTCOME_SALES,Feed,instagram,"NCC || BOF || Ads 2 || 17/11/25 (manual upload); NCC || BOF || Ads 2 || 17/11/25 (manual upload) - Copy;...and 2 more ads",inactive,campaign,8134,76906.93385788,12380,50529.96768982,1.52200639,20,113,0.91276252,5535.9380531,0.16155089,31278.05,20,,14,44682.92857143,4,156390.25,"Messaging conversations started",14,44682.92857143,625561,2025-11-26,2025-12-25
"RMODA - BSD || TOF || ABO || Traffic || Collaboration Post || 6/12/25 - [ Visit Profile ]",LINK_CLICKS,"Instagram Stories",instagram,"Ads 3 - (visit profile, sppf);...and 2 more ads",active,campaign,87479,6354.59938957,134417,4135.59296815,1.53656306,3929,3808,2.832975,145.98056723,2.92299337,141.4848562,1,,2,277947,75,7411.92,"Instagram profile visits",3970,140.02367758,555894,2025-11-26,2025-12-25
"RMODA - BSD || TOF || ABO || Sales || Collaboration Post & Manual Upload || 6/12/25",OUTCOME_SALES,"Instagram Reels",instagram,"Ads 4 - (SPPF, Ordinar car);...and 2 more ads",active,campaign,9320,57669.74248927,11812,45503.04774805,1.26738197,30,127,1.07517779,4232.14173228,0.253979,17916.06666667,30,,8,67185.25,5,107496.4,"Messaging conversations started",8,67185.25,537482,2025-11-26,2025-12-25
"RMODA - BSD || TOF || ABO || Traffic || Collaboration Post || 6/12/25 - [ Visit Profile ]",LINK_CLICKS,"Instagram Reels",instagram,"Ads 3 - (visit profile, sppf);...and 2 more ads",active,campaign,105326,4515.79856825,138858,3425.30498783,1.31836394,3632,3537,2.5472065,134.47299972,2.61562171,130.95567181,,,,,29,16401.06896552,"Instagram profile visits",3608,131.82677384,475631,2025-11-26,2025-12-25
"RMODA - BSD || TOF || ABO || Sales || Collaboration Post & Manual Upload || 6/12/25",OUTCOME_SALES,Feed,instagram,"Ads 4 - (SPPF, Ordinar car);...and 2 more ads",active,campaign,3517,110836.22405459,5237,74434.02711476,1.48905317,11,58,1.1075043,6720.87931034,0.21004392,35437.36363636,10,,5,77962.2,5,77962.2,"Messaging conversations started",5,77962.2,389811,2025-11-26,2025-12-25
"RMODA - BSD || TOF || CBO || BROAD || 23/11/25",OUTCOME_SALES,"Instagram Reels",instagram,"ADS 1;...and 2 more ads",inactive,campaign,2997,117930.59726393,3614,97796.90094079,1.20587254,10,62,1.71555064,5700.61290323,0.27670172,35343.8,10,,4,88359.5,1,353438,"Messaging conversations started",4,88359.5,353438,2025-11-26,2025-12-25
"RMODA - BSD || MOF || CBO || Traffic || SPPF || 31/10/25 (RT All Engaged IG)",LINK_CLICKS,Feed,instagram,"SPPF || Ads 1 || 31/10/25;...and 3 more ads",inactive,campaign,4188,76077.12511939,5564,57262.9403307,1.32855778,13,75,1.34795111,4248.14666667,0.23364486,24508.53846154,13,,4,79652.75,7,45515.85714286,"Messaging conversations started",4,79652.75,318611,2025-11-26,2025-12-25
"RMODA - BSD || TOF || ABO || Winning ADS & ADSET include report MOM || 15/12/25 (Drop Pin + R-LT)",OUTCOME_SALES,Feed,instagram,"SPPF || Ads 2 || 16/12/25;...and 3 more ads",active,campaign,3393,82490.12673151,5006,55910.70715142,1.47539051,6,61,1.21853775,4588.3442623,0.11985617,46648.16666667,6,,,,2,139944.5,,,,279889,2025-11-26,2025-12-25
"RMODA - BSD || MOF || CBO || Traffic || UGC || 31/10/25 (RT All Engaged IG)",LINK_CLICKS,"Instagram Reels",instagram,"UGC || Ads 1 || 31/10/25 (manual upload);...and 1 more ad",inactive,campaign,3344,78747.90669856,3947,66717.25361034,1.18032297,13,57,1.44413479,4619.87719298,0.32936407,20256.38461538,13,,3,87777.66666667,2,131666.5,"Messaging conversations started",3,87777.66666667,263333,2025-11-26,2025-12-25
"RMODA - BSD || TOF || ABO || Traffic || Collaboration Post || 6/12/25 - [ Visit Profile ]",LINK_CLICKS,"Instagram Stories",instagram,"Ads 2 - @hobibarbar;...and 2 more ads",active,campaign,32812,7312.78190906,45662,5254.85086067,1.39162502,819,1183,2.5907757,202.82924768,1.79361395,292.97557998,1,,,,36,6665.19444444,"Instagram profile visits",816,294.05269608,239947,2025-11-26,2025-12-25
"RMODA - BSD || TOF || ABO || Sales || Collaboration Post & Manual Upload || 6/12/25",OUTCOME_SALES,"Instagram Stories",instagram,"Ads 4 - (SPPF, Ordinar car);...and 2 more ads",active,campaign,4591,49681.11522544,7343,31061.69140678,1.59943367,54,102,1.38907803,2236.1372549,0.73539425,4223.81481481,54,,7,32583.71428571,5,45617.2,"Messaging conversations started",7,32583.71428571,228086,2025-11-26,2025-12-25
"RMODA - BSD || TOF || ABO || Traffic || Collaboration Post || 6/12/25 - [ Visit Profile ]",LINK_CLICKS,"Instagram Reels",instagram,"Ads 1 - 19/12/25;...and 2 more ads",active,campaign,27916,8137.34059321,35889,6329.57173507,1.28560682,1391,1369,3.81453927,165.93279766,3.87583939,163.30841121,,,,,42,5408.61904762,"Instagram profile visits",1424,159.5238764,227162,2025-11-26,2025-12-25
"RMODA - BSD || MOF || CBO || Traffic || SPPF || 31/10/25 (RT All Engaged IG)",LINK_CLICKS,"Instagram Reels",instagram,"SPPF || Ads 1 || 31/10/25;...and 3 more ads",inactive,campaign,4011,55135.62702568,4764,46420.86481948,1.18773373,8,64,1.3434089,3455.453125,0.16792611,27643.625,8,,3,73716.33333333,3,73716.33333333,"Messaging conversations started",3,73716.33333333,221149,2025-11-26,2025-12-25
"RMODA - BSD || MOF || CBO || Traffic || SPPF || 31/10/25 (RT All Engaged IG)",LINK_CLICKS,"Instagram Stories",instagram,"SPPF || Ads 1 || 31/10/25;...and 3 more ads",inactive,campaign,4420,48923.07692308,6615,32689.34240363,1.49660633,81,133,2.01058201,1625.86466165,1.2244898,2669.62962963,81,,4,54060,7,30891.42857143,"Messaging conversations started",4,54060,216240,2025-11-26,2025-12-25
"RMODA - BSD || TOF || CBO || BROAD || 23/11/25",OUTCOME_SALES,Feed,instagram,"ADS 1;...and 2 more ads",inactive,campaign,1968,97272.35772358,2538,75426.31993696,1.28963415,7,25,0.98502758,7657.28,0.27580772,27347.42857143,7,,3,63810.66666667,0,,"Messaging conversations started",3,63810.66666667,191432,2025-11-26,2025-12-25
