"Campaign name",Ads,Objective,Region,"Delivery status","Delivery level",Reach,"Cost per 1,000 Accounts Center accounts reached",Impressions,"CPM (cost per 1,000 impressions)",Frequency,"Link clicks","Clicks (all)","CTR (all)","CPC (all)","CTR (link click-through rate)","CPC (cost per link click)","Outbound clicks","* OC→WA landing ratio","Messaging conversations started","Cost per messaging conversation started","Instagram follows","* COST /Follow (IDR)","Result type",Results,"Cost per result","Amount spent (IDR)","Reporting starts","Reporting ends"
,,,,,,328426,54850.47773319,787193,22884.25201952,2.39686566,12141,15985,2.03063289,1126.95170472,1.54231554,1483.75941026,1495,0.21672241,324,55599.76234568,450,40031.82888889,mixed,,,18014323,2025-11-26,2025-12-25
"RMODA - BSD || BOF || CBO || Sales || 20/11/25 - Brief Creative - VS 1","NCC || BOF || Ads 2 || 17/11/25 (manual upload);...and 2 more ads",OUTCOME_SALES,Jakarta,inactive,campaign,24719,89945.54795906,56907,39070.1319697,2.30215624,152,476,0.83645246,4670.93277311,0.26710247,14627.39473684,149,,,,34,65393.05882353,,,,2223364,2025-11-26,2025-12-25
"RMODA - BSD || TOF || CBO || Winning ADS & ADSET include report MOM || 30/11/25 (Drop Pin + R-LT)","SPPF || Ads 1 || 30/11/25;...and 3 more ads",OUTCOME_SALES,Jakarta,active,campaign,13130,105983.70144707,23939,58129.66289319,1.82322925,136,389,1.62496345,3577.29048843,0.56811061,10232.10294118,135,,,,26,53521.76923077,,,,1391566,2025-11-26,2025-12-25
"RMODA - BSD || BOF || CBO || Sales || 17/11/25 - Brief Creative","NCC || BOF || Ads 2 || 17/11/25 (manual upload); NCC || BOF || Ads 2 || 17/11/25 (manual upload) - Copy;...and 2 more ads",OUTCOME_SALES,Jakarta,inactive,campaign,16876,80638.77696137,32680,41641.98286414,1.93647784,93,312,0.95471236,4361.73076923,0.28457772,14632.90322581,93,,,,14,97204.28571429,,,,1360860,2025-11-26,2025-12-25
"RMODA - BSD || BOF || CBO || Sales || 20/11/25 - Brief Creative - VS 1","NCC || BOF || Ads 2 || 17/11/25 (manual upload);...and 2 more ads",OUTCOME_SALES,Banten,inactive,campaign,14066,86420.37537324,34562,35171.25745038,2.45713067,91,263,0.76095133,4622.01140684,0.26329495,13358.12087912,89,,,,13,93506.84615385,,,,1215589,2025-11-26,2025-12-25
"RMODA - BSD || TOF || CBO || Winning ADS & ADSET include report MOM || 30/11/25 (Drop Pin + R-LT)","SPPF || Ads 1 || 30/11/25;...and 3 more ads",OUTCOME_SALES,"West Java",active,campaign,7300,98016.84931507,14469,49452.13905591,1.98205479,84,222,1.53431474,3223.07657658,0.58055152,8518.13095238,84,,,,10,71552.3,,,,715523,2025-11-26,2025-12-25
"RMODA - BSD || BOF || CBO || Sales || 17/11/25 - Brief Creative","NCC || BOF || Ads 2 || 17/11/25 (manual upload); NCC || BOF || Ads 2 || 17/11/25 (manual upload) - Copy;...and 2 more ads",OUTCOME_SALES,Banten,inactive,campaign,9123,76155.43132741,18653,37246.87717793,2.04461252,48,150,0.80416019,4631.77333333,0.25733126,14474.29166667,48,,,,6,115794.33333333,,,,694766,2025-11-26,2025-12-25
"RMODA - BSD || TOF || CBO || Winning ADS & ADSET include report MOM || 30/11/25 (Drop Pin + R-LT)","SPPF || Ads 1 || 30/11/25;...and 3 more ads",OUTCOME_SALES,Banten,active,campaign,6389,100714.97886993,12299,52318.7250996,1.92502739,95,216,1.75624034,2979.01851852,0.77242052,6773.34736842,94,,,,11,58497.09090909,,,,643468,2025-11-26,2025-12-25
"RMODA - BSD || TOF || ABO || Winning ADS & ADSET include report MOM || 15/12/25 (Drop Pin + R-LT)","SPPF || Ads 2 || 16/12/25;...and 3 more ads",OUTCOME_SALES,Jakarta,active,campaign,6627,97096.2728233,12071,53306.02269903,1.82148785,36,237,1.96338332,2715.00843882,0.29823544,17873.80555556,36,,,,7,91922.42857143,,,,643457,2025-11-26,2025-12-25
"RMODA - BSD || TOF || ABO || Sales || Collaboration Post & Manual Upload || 6/12/25","Ads 4 - (SPPF, Ordinar car);...and 2 more ads",OUTCOME_SALES,Jakarta,active,campaign,7212,85716.86078758,11456,53962.11592179,1.58846367,51,148,1.29189944,4176.95945946,0.44518156,12121.37254902,51,,,,6,103031.66666667,,,,618190,2025-11-26,2025-12-25
"RMODA - BSD || MOF || CBO || Traffic || SPPF || 31/10/25 (RT All Engaged IG)","SPPF || Ads 1 || 31/10/25;...and 3 more ads",LINK_CLICKS,Jakarta,inactive,campaign,6946,69906.99683271,10489,46293.64095719,1.51007774,61,165,1.57307656,2942.87272727,0.58156164,7960.2295082,61,,,,9,53952.66666667,,,,485574,2025-11-26,2025-12-25
