Ads,Reach,Impressions,Frequency,Link clicks,Clicks (all),Amount spent (IDR),Instagram follows,Results,"CPM (cost per 1,000 impressions)",CTR (link click-through rate),CPC (cost per link click),Reporting starts,Reporting ends
"Ads 3 - (visit profile, sppf);...and 2 more ads",771479,1110129,15.899516089999999,20547,19806,3361569,333,13700,3028.0886275378807,1.8508659804401109,163.60388377865382,2025-12-26,2026-01-25
ADS 1 || 15/12/25;...and 3 more ads,73792,110802,30.16326617,492,2367,6438789,186,116,58110.76514864352,0.4440353062219094,13086.969512195123,2025-12-26,2026-01-25
Ads 1 - 19/12/25;...and 2 more ads,341214,478254,15.601914939999999,13887,13680,3342690,840,9518,6989.361301735062,2.903687162051964,240.70641607258588,2025-12-26,2026-01-25
SPPF || Ads 1 || 15/12/25;...and 3 more ads,104796,172134,34.44375395,981,2646,6580785,168,144,38230.593607305935,0.569904841576911,6708.241590214067,2025-12-26,2026-01-25
ADS 1 || 30/11/25;...and 3 more ads,57213,87909,32.93341804,438,1917,6245241,168,116,71042.11172917449,0.4982425007678395,14258.54109589041,2025-12-26,2026-01-25
NCC || BOF || Ads 2 || 17/11/25 (manual upload); NCC || BOF || Ads 2 || 17/11/25 (manual upload) - Copy;...and 1 more ad,80863,151206,46.61203392,363,1374,5179827,48,84,34256.755684298245,0.24006983849847227,14269.495867768595,2025-12-26,2026-01-25
Ads 2 - @hobibarbar;...and 2 more ads,267754,373575,15.853864340000001,4794,8262,1408551,138,3136,3770.4637622967275,1.2832764505119454,293.8153942428035,2025-12-26,2026-01-25
Ads ppf 2,34310,45504,12.96158792,366,609,1812462,15,52,39830.828059071726,0.804324894514768,4952.081967213115,2025-12-26,2026-01-25
NCC || BOF || Ads 2 || 15/12/25 (manual upload);...and 3 more ads,36824,56352,29.08404178,180,564,2511555,24,26,44569.048126064736,0.31942078364565585,13953.083333333334,2025-12-26,2026-01-25
Ads ppf 3,24543,36990,14.53395124,255,501,1781892,9,32,48172.26277372263,0.689375506893755,6987.8117647058825,2025-12-26,2026-01-25
Ads ppf 1,25332,38088,14.43752931,354,507,1802427,9,40,47322.70006301197,0.9294265910523001,5091.6016949152545,2025-12-26,2026-01-25
NCC || BOF || Ads 2 || 30/11/25 (manual upload);...and 3 more ads,25302,37596,33.600535879999995,114,450,2378544,3,20,63265.8793488669,0.30322374720714973,20864.42105263158,2025-12-26,2026-01-25
SPPF || Ads 1 || 30/11/25;...and 3 more ads,40638,56730,29.784564910000004,333,915,2639388,57,42,46525.43627710206,0.5869910100475939,7926.09009009009,2025-12-26,2026-01-25
"Ads 4 - (SPPF, Ordinar car);...and 2 more ads",32191,45744,39.54257659,171,435,2461410,42,26,53808.36831059811,0.3738195173137461,14394.21052631579,2025-12-26,2026-01-25
ppf (pe) - 12/1/26,38575,60438,45.12281348999999,336,774,2216739,39,34,36677.901320361365,0.5559416261292565,6597.4375,2025-12-26,2026-01-25
sppf (mu) - 12/1/26,34361,57738,32.69240144,246,942,1561227,33,22,27039.85243687,0.42606255845370467,6346.451219512195,2025-12-26,2026-01-25
sppf (pe) - 12/1/26,13548,21330,15.47635918,84,234,668262,9,6,31329.676511954993,0.39381153305203936,7955.5,2025-12-26,2026-01-25
"Ads 1 - (PPF, before-after, benefit ppf);...and 2 more ads",36863,51021,38.53302626,141,339,1289544,,18,25274.769212677133,0.27635679426118653,9145.702127659575,2025-12-26,2026-01-25
UGC || Ads 2 || 30/11/25 (manual upload);...and 3 more ads,14650,19008,24.861112170000002,171,423,773274,42,12,40681.50252525252,0.8996212121212122,4522.070175438596,2025-12-26,2026-01-25
SPPF || Ads 2 || 16/12/25;...and 3 more ads,6726,9720,26.75541109,18,162,744567,12,4,76601.54320987655,0.1851851851851852,41364.833333333336,2025-12-26,2026-01-25
UGC || Ads 2 || 15/12/25 (manual upload);...and 3 more ads,15439,19023,24.2281149,204,489,718560,21,18,37773.22188929191,1.0723860589812333,3522.3529411764707,2025-12-26,2026-01-25
