Ads,Reach,Impressions,Frequency,Link clicks,Clicks (all),Amount spent (IDR),Messaging conversations started,Cost per messaging conversation started,Instagram follows,Outbound clicks,Results,"CPM (cost per 1,000 impressions)",CTR (link click-through rate),CPC (cost per link click),Reporting starts,Reporting ends
NCC || BOF || Ads 2 || 17/11/25 (manual upload);...and 2 more ads,137535,294654,50.97886369,777,2361,11023161,122,90353.77868852459,144,762,122,37410.52556557861,0.2636991182878902,14186.822393822395,2025-11-26,2025-12-25
SPPF || Ads 1 || 30/11/25;...and 3 more ads,83489,152121,35.09871113,945,2481,8251671,130,63474.39230769231,141,939,130,54244.1280296606,0.6212160056796893,8731.926984126983,2025-11-26,2025-12-25
"Ads 3 - (visit profile, sppf);...and 2 more ads",560553,842925,16.805697780000003,23142,22479,3164625,4,791156.25,327,3,15506,3754.3375745173057,2.745439985763858,136.74812030075188,2025-11-26,2025-12-25
NCC || BOF || Ads 2 || 17/11/25 (manual upload); NCC || BOF || Ads 2 || 17/11/25 (manual upload) - Copy;...and 2 more ads,89165,167241,50.38072738000001,468,1479,6619551,76,87099.3552631579,60,468,76,39580.910183507636,0.2798356862252677,14144.339743589744,2025-11-26,2025-12-25
SPPF || Ads 2 || 16/12/25;...and 3 more ads,43061,77250,33.54227224,231,1539,3803235,22,172874.31818181818,51,231,22,49232.81553398058,0.29902912621359223,16464.22077922078,2025-11-26,2025-12-25
Ads 2 - @hobibarbar;...and 2 more ads,185735,267408,16.273402949999998,3711,6657,1253343,,,177,3,2504,4687.006372285047,1.3877670077185424,337.73726758286176,2025-11-26,2025-12-25
"Ads 4 - (SPPF, Ordinar car);...and 2 more ads",50255,76218,43.15550348,291,876,3493140,42,83170,45,282,42,45830.90608517673,0.3817995749035661,12003.917525773197,2025-11-26,2025-12-25
SPPF || Ads 1 || 31/10/25;...and 3 more ads,34816,51057,35.47822315,309,822,2278359,22,103561.77272727272,51,309,22,44623.83218755509,0.605205946295317,7373.330097087379,2025-11-26,2025-12-25
Ads 1 - 19/12/25;...and 2 more ads,102347,134010,13.7348038,5007,4905,848688,,,165,,3426,6333.019923886277,3.736288336691292,169.50029958058718,2025-11-26,2025-12-25
ADS 1;...and 2 more ads,19304,27156,33.49987217,153,471,2001465,20,100073.25,18,150,20,73702.49668581529,0.5634114007954044,13081.470588235294,2025-11-26,2025-12-25
UGC || Ads 1 || 31/10/25 (manual upload);...and 1 more ad,14062,18465,29.1793771,66,249,1241913,8,155239.125,15,66,8,67257.67668562145,0.35743298131600326,18816.863636363636,2025-11-26,2025-12-25
SPPF || Ads 1 || 15/12/25;...and 3 more ads,22308,29244,27.081001499999996,180,483,1142460,26,43940.769230769234,24,177,26,39066.47517439475,0.6155108740254411,6347,2025-11-26,2025-12-25
UGC || Ads 2 || 30/11/25 (manual upload);...and 3 more ads,19850,24888,23.380879910000004,213,534,1147773,22,52171.5,27,213,22,46117.52651880424,0.8558341369334619,5388.605633802817,2025-11-26,2025-12-25
Ads ppf 3,5138,8502,15.751542369999997,57,120,537087,18,29838.166666666668,,57,18,63171.841919548344,0.6704304869442484,9422.578947368422,2025-11-26,2025-12-25
Ads ppf 2,6826,9993,14.012524749999999,75,150,522774,12,43564.5,,72,12,52314.01981386971,0.7505253677574302,6970.32,2025-11-26,2025-12-25
ADS 1 || 30/11/25;...and 3 more ads,9220,11478,20.82004531,51,300,687336,12,57278,15,51,12,59882.90642969159,0.4443282801881861,13477.176470588236,2025-11-26,2025-12-25
UGC || Ads 2 || 31/10/25 (manual upload);...and 1 more ad,13111,15327,27.67245337,111,330,796284,4,199071,15,108,4,51953.02407516148,0.724212174593854,7173.72972972973,2025-11-26,2025-12-25
NCC || BOF || Ads 2 || 30/11/25 (manual upload);...and 3 more ads,6920,9087,23.9185721,21,84,576975,4,144243.75,6,21,4,63494.55265764279,0.231099372730274,27475,2025-11-26,2025-12-25
NCC || BOF || Ads 2 || 15/12/25 (manual upload);...and 3 more ads,13241,16857,20.222005329999995,42,123,546042,6,91007,,42,6,32392.59654742837,0.24915465385299873,13001,2025-11-26,2025-12-25
Ads ppf 1,6460,10524,15.73465322,48,90,543084,10,54308.4,3,48,10,51604.332953249716,0.45610034207525657,11314.25,2025-11-26,2025-12-25
before after_satisfiying_reels || 30/11/25;...and 3 more ads,5435,8958,27.67855121,51,171,482958,6,80493,15,48,6,53913.59678499665,0.5693235097119892,9469.764705882353,2025-11-26,2025-12-25
ADS 1 || 15/12/25;...and 3 more ads,7947,10374,22.467056,54,273,440256,20,22012.8,24,54,20,42438.4037015616,0.5205320994794679,8152.888888888889,2025-11-26,2025-12-25
"Ads 3 - (carousel, ceramic coating);...and 1 more ad",11452,15285,34.471029609999995,57,144,504321,8,63040.125,3,57,8,32994.50441609421,0.3729146221786065,8847.736842105263,2025-11-26,2025-12-25
"Ads 5 - (carousel, nano ceramic, auto detailing",11828,17037,34.232531949999995,48,126,344856,4,86214,,39,4,20241.591829547455,0.2817397429124846,7184.5,2025-11-26,2025-12-25
"Ads 1 - (PPF, before-after, benefit ppf);...and 2 more ads",6341,8262,31.49187003,72,84,306177,4,76544.25,,69,4,37058.46042120552,0.8714596949891068,4252.458333333333,2025-11-26,2025-12-25
UGC || Ads 1 || 30/11/25 (manual upload);...and 3 more ads,3420,4107,19.575883479999998,18,48,228792,6,38132,9,18,6,55707.81592403214,0.4382761139517896,12710.666666666666,2025-11-26,2025-12-25
"Ads 5 - (carousel, nano ceramic, auto detailing;...and 1 more ad",18234,24732,36.47502160999999,84,180,278832,14,19916.571428571428,3,57,14,11274.138767588549,0.3396409509946628,3319.4285714285716,2025-11-26,2025-12-25
"Ads 2 - (before- after, ceramic coating);...and 2 more ads",4851,6465,33.87523205,24,48,206718,10,20671.8,3,24,10,31974.94199535963,0.37122969837587005,8613.25,2025-11-26,2025-12-25
UGC || Ads 1 || 15/12/25 (manual upload); UGC || Ads 2 || 15/12/25 (manual upload);...and 2 more ads,4320,5211,20.67734709,6,54,178794,6,29799,3,6,6,34310.88082901554,0.11514104778353484,29799,2025-11-26,2025-12-25
